,ID,NAMA_DAOP,NAMA_DEPO,NAMA_PEMILIK,JENIS,KOORDINAT_X,KOORDINAT_Y
14,64,DAOP 8 SURABAYA,DEPO GERBONG SIDOTOPO,PT Kereta Api Indonesia (Persero),Depo Sarana Tanpa Penggerak,-7.234679,112.75712
14,39,DAOP 8 SURABAYA,DEPO KERETA MALANG,PT Kereta Api Indonesia (Persero),Depo Sarana Tanpa Penggerak,-7.974572,112.63735
14,36,DAOP 8 SURABAYA,DEPO KERETA PASARTURI,PT Kereta Api Indonesia (Persero),Depo Sarana Tanpa Penggerak,-7.250548,112.728394
14,35,DAOP 8 SURABAYA,DEPO KERETA SIDOTOPO,PT Kereta Api Indonesia (Persero),Depo Sarana Tanpa Penggerak,-7.236162,112.755821
14,37,DAOP 8 SURABAYA,DEPO KERETA SURABAYA GUBENG,PT Kereta Api Indonesia (Persero),Depo Sarana Tanpa Penggerak,-7.265427,112.752277
14,38,DAOP 8 SURABAYA,DEPO LOKOMOTIF MALANG,PT Kereta Api Indonesia (Persero),Depo Sarana Penggerak,-7.977818,112.637403
14,34,DAOP 8 SURABAYA,DEPO LOKOMOTIF SIDOTOPO,PT Kereta Api Indonesia (Persero),Depo Sarana Penggerak,-7.234179,112.754733
15,41,DAOP 9 JEMBER,DEPO KERETA BANYUWANGI,PT Kereta Api Indonesia (Persero),Depo Sarana Tanpa Penggerak,-8.137884,114.39705
15,40,DAOP 9 JEMBER,DEPO LOKOMOTIF JEMBER,PT Kereta Api Indonesia (Persero),Depo Sarana Penggerak,-8.163915,113.702765
16,62,DIVRE I SUMATERA UTARA,DEPO KERETA ACEH,Ditjen Perkeretaapian,Depo Sarana Tanpa Penggerak,5.259967,96.963576
16,44,DIVRE I SUMATERA UTARA,DEPO KERETA MEDAN,PT Kereta Api Indonesia (Persero),Depo Sarana Tanpa Penggerak,3.593173,98.679209
16,61,DIVRE I SUMATERA UTARA,DEPO KRD MEDAN,PT Kereta Api Indonesia (Persero),Depo Sarana Tanpa Penggerak,3.592491,98.677583
16,43,DIVRE I SUMATERA UTARA,DEPO LOKOMOTIF MEDAN,PT Kereta Api Indonesia (Persero),Depo Sarana Penggerak,3.593173,98.679209
17,84,DIVRE II SUMATERA BARAT,DEPO GERBONG BUKITPUTUS,PT Kereta Api Indonesia (Persero),Depo Sarana Tanpa Penggerak,-0.986319,100.384411
17,46,DIVRE II SUMATERA BARAT,DEPO KERETA PADANG,PT Kereta Api Indonesia (Persero),Depo Sarana Tanpa Penggerak,-0.94175,100.374128
17,45,DIVRE II SUMATERA BARAT,DEPO LOKOMOTIF PADANG,PT Kereta Api Indonesia (Persero),Depo Sarana Penggerak,-0.943109,100.3731
18,51,DIVRE III SUMATERA SELATAN,DEPO GERBONG SIMPANG,PT Kereta Api Indonesia (Persero),Depo Sarana Tanpa Penggerak,-3.104936,104.559324
18,56,DIVRE III SUMATERA SELATAN,DEPO GERBONG TANJUNGENIMBARU,PT Kereta Api Indonesia (Persero),Depo Sarana Tanpa Penggerak,-3.707716,103.798637
18,50,DIVRE III SUMATERA SELATAN,DEPO KERETA KERTAPATI,PT Kereta Api Indonesia (Persero),Depo Sarana Tanpa Penggerak,-3.019455,104.75009
18,49,DIVRE III SUMATERA SELATAN,DEPO LOKOMOTIF KERTAPATI,PT Kereta Api Indonesia (Persero),Depo Sarana Penggerak,-3.022551,104.74742
18,55,DIVRE III SUMATERA SELATAN,DEPO LOKOMOTIF TANJUNGENIMBARU,PT Kereta Api Indonesia (Persero),Depo Sarana Penggerak,-3.708892,103.79574
18,77,DIVRE III SUMATERA SELATAN,DEPO LRT JAKABARING,Ditjen Perkeretaapian,Depo Sarana Penggerak,-3.036366,104.79373
26,54,DIVRE IV LAMPUNG,DEPO GERBONG REJOSARI,PT Kereta Api Indonesia (Persero),Depo Sarana Tanpa Penggerak,-5.294167,105.187778
26,68,DIVRE IV LAMPUNG,DEPO GERBONG TARAHAN,PT Kereta Api Indonesia (Persero),Depo Sarana Tanpa Penggerak,-5.502397,105.333264
26,53,DIVRE IV LAMPUNG,DEPO KERETA REJOSARI,PT Kereta Api Indonesia (Persero),Depo Sarana Tanpa Penggerak,-5.29323,105.18722
26,48,DIVRE IV LAMPUNG,DEPO KERETA TANJUNGKARANG,PT Kereta Api Indonesia (Persero),Depo Sarana Tanpa Penggerak,-5.406307,105.261059
26,52,DIVRE IV LAMPUNG,DEPO LOKOMOTIF REJOSARI,PT Kereta Api Indonesia (Persero),Depo Sarana Penggerak,-5.294167,105.187778
26,66,DIVRE IV LAMPUNG,DEPO LOKOMOTIF TANJUNGKARANG,PT Kereta Api Indonesia (Persero),Depo Sarana Penggerak,-5.406307,105.261059
26,47,DIVRE IV LAMPUNG,DEPO LOKOMOTIF TARAHAN,PT Kereta Api Indonesia (Persero),Depo Sarana Penggerak,-5.503102,105.336337
27,78,PROV DKI JAKARTA,DEPO APMS BANDARA SOETTA,PT Angkasa Pura II,Depo Sarana Penggerak,-6.128482,106.650819
27,76,PROV DKI JAKARTA,DEPO LRT KELAPAGADING,PT LRT Jakarta,Depo Sarana Penggerak,-6.157469,106.913267
27,74,PROV DKI JAKARTA,DEPO MRT LEBAK BULUS,PT MRT Jakarta,Depo Sarana Penggerak,-6.290257,106.773462
24,42,PT KAI COMMUTER JABOTABEK,DEPO KRL BOGOR,PT Kereta Commuter Indonesia,Depo Sarana Penggerak,-6.591201,106.791453
24,17,PT KAI COMMUTER JABOTABEK,DEPO KRL BUKITDURI,PT Kereta Commuter Indonesia,Depo Sarana Penggerak,-6.217738,106.861169
24,18,PT KAI COMMUTER JABOTABEK,DEPO KRL DEPOK,Ditjen Perkeretaapian,Depo Sarana Penggerak,-6.416477,106.811902
