"61","16","Depo KRD Medan","2","Depo Sarana Tanpa Penggerak",NULL,"3.5924908","98.6775835",NULL,NULL
"62","16","Depo Kereta Aceh","1","Depo Sarana Tanpa Penggerak",NULL,"5.2599673","96.9635762",NULL,NULL
"63","11","Depo Kereta Kutoarjo","2","Depo Sarana Tanpa Penggerak",NULL,"-7.726462","109.909499",NULL,NULL
"64","14","Depo Gerbong Sidotopo","2","Depo Sarana Tanpa Penggerak",NULL,"-7.234679","112.75712",NULL,NULL
"65","11","Depo Gerbong Maos","2","Depo Sarana Tanpa Penggerak",NULL,"-7.618823","109.138499",NULL,NULL
"66","26","Depo Lokomotif TanjungKarang","2","Depo Sarana Penggerak",NULL,"-5.406307","105.261059",NULL,NULL
"67","7","Depo Kereta JakartaManggarai","2","Depo Sarana Tanpa Penggerak",NULL,"-6.2120814","106.8468449",NULL,NULL
"68","26","Depo Gerbong Tarahan","2","Depo Sarana Tanpa Penggerak",NULL,"-5.5023971","105.3332642",NULL,NULL
"69","10","Depo Lokomotif Tegal","2","Depo Sarana Penggerak",NULL,"-6.860814","109.1417459",NULL,NULL
"70","11","Depo Lokomotif Cilacap","2","Depo Sarana Penggerak",NULL,"-7.7385776","109.0048829",NULL,NULL
"71","25","Balai Perawatan","1","Depo Sarana Penggerak",NULL,"-7.1434945","110.8975915",NULL,NULL
"72","7","DEPO KRL MANGGARAI","3","Depo Sarana Penggerak",NULL,"-6.212741","106.850457",NULL,NULL
"73","12","Depo Mekanik Purwosari","2","Depo Sarana Penggerak",NULL,"-7.5653656","110.7963212",NULL,NULL
"74","27","Depo MRT Lebak Bulus","5","Depo Sarana Penggerak",NULL,"-6.2902569","106.7734616",NULL,NULL
"76","27","Depo LRT KelapaGading","6","Depo Sarana Penggerak",NULL,"-6.1574688","106.9132671",NULL,NULL
"77","18","Depo LRT Jakabaring","1","Depo Sarana Penggerak",NULL,"-3.0363655","104.7937302",NULL,NULL
"78","27","Depo APMS Bandara Soetta","7","Depo Sarana Penggerak",NULL,"-6.1284818","106.6508189",NULL,NULL
"79","7","Depo Mekanik Karawang","2","Depo Sarana Penggerak",NULL,"-6.3069754","107.3013244",NULL,NULL
"80","11","Depo Mekanik Kroya","2","Depo Sarana Penggerak",NULL,"-7.6294241","109.1156554",NULL,NULL
"81","13","Depo Mekanik Madiun","2","Depo Sarana Penggerak",NULL,"-7.6194095","111.5266891",NULL,NULL
"82","9","Depo Gerbong Arjowinangun","2","Depo Sarana Tanpa Penggerak",NULL,"-6.6445403","108.4116918",NULL,NULL
"83","12","Depo Gerbong Rowulu","2","Depo Sarana Tanpa Penggerak",NULL,"-7.7979191","110.2769801",NULL,NULL
"84","17","Depo Gerbong BukitPutus","2","Depo Sarana Tanpa Penggerak",NULL,"-0.9863189020156738","100.38441128261302",NULL,NULL
