;kode_sarana;jenis_sarana;nama_pemilik;nama_daop;lokasi;tahun_pembuatan;umur;range_usia;asal_pabrikan
7;GD421014;Gerbong;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2010;11;11-20 th;ID
7;GD421015;Gerbong;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2010;11;11-20 th;ID
7;GD421016;Gerbong;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2010;11;11-20 th;ID
7;GD421017;Gerbong;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2010;11;11-20 th;ID
7;GD421018;Gerbong;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2010;11;11-20 th;ID
7;GD421019;Gerbong;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2010;11;11-20 th;ID
7;GD421020;Gerbong;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2010;11;11-20 th;ID
7;GD421021;Gerbong;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2010;11;11-20 th;ID
7;GD421022;Gerbong;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2010;11;11-20 th;ID
7;GD421023;Gerbong;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2010;11;11-20 th;ID
7;GD421024;Gerbong;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2010;11;11-20 th;ID
7;GD421025;Gerbong;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2010;11;11-20 th;ID
7;GD421027;Gerbong;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2010;11;11-20 th;ID
7;GD421028;Gerbong;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2010;11;11-20 th;ID
7;GD421029;Gerbong;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2010;11;11-20 th;ID
7;GD421030;Gerbong;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2010;11;11-20 th;ID
7;GD421031;Gerbong;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2010;11;11-20 th;ID
7;GD421032;Gerbong;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2010;11;11-20 th;ID
7;GD421033;Gerbong;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2010;11;11-20 th;ID
7;GD421034;Gerbong;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2010;11;11-20 th;ID
7;GD421035;Gerbong;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2010;11;11-20 th;ID
7;GD421036;Gerbong;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2010;11;11-20 th;ID
7;GD409225;Gerbong;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1992;29;21-30 th;ID
7;GD409525;Gerbong;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1995;26;21-30 th;ID
7;K106420;Peralatan Khusus;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1964;57;>30 th;LN
7;K106615;Peralatan Khusus;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1966;55;>30 th;LN
7;K106706;Peralatan Khusus;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1967;54;>30 th;LN
7;K106711;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1967;54;>30 th;LN
7;K106713;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1967;54;>30 th;LN
7;K109909;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1999;22;21-30 th;ID
7;K109902;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1999;22;21-30 th;ID
7;K109904;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1999;22;21-30 th;ID
7;K109905;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1999;22;21-30 th;ID
7;K109906;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1999;22;21-30 th;ID
7;K109907;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1999;22;21-30 th;ID
7;K109908;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1999;22;21-30 th;ID
7;K109910;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1999;22;21-30 th;ID
7;K109911;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1999;22;21-30 th;ID
7;K109912;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1999;22;21-30 th;ID
7;K100801;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2008;13;11-20 th;ID
7;K100802;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2008;13;11-20 th;ID
7;K100803;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2008;13;11-20 th;ID
