,id,kode_sarana,kode_sarana_lama,id_kartu,jenis_sarana,id_sub_jenis,seri,tahun_dinas,id_depo,status,negara_asal,tgl_uji_pertama,tgl_masa_uji,tgl_masa_perawatan,pabrikan,created_at,last_update,nama_pemilik,nama_daop
7,1231,GB308431,ZZOW 30173,0,Gerbong,16,58,1984,19,Aktiv,,2009-12-28,2020-09-21,0000-00-00,ARAD (RUMANIA),0000-00-00 00:00:00,0000-00-00 00:00:00,PT Kereta Api Indonesia (Persero),DAOP 1 JAKARTA
7,1264,GB306560,KKBW 60,0,Gerbong,16,57,1965,51,Aktiv,,2009-12-28,2020-12-13,0000-00-00,ARAD (RUMANIA),0000-00-00 00:00:00,0000-00-00 00:00:00,PT Kereta Api Indonesia (Persero),DAOP 1 JAKARTA
7,1298,GB306594,KKBW 243,0,Gerbong,16,57,1965,51,Aktiv,,2009-12-28,2020-12-13,0000-00-00,ARAD (RUMANIA),0000-00-00 00:00:00,0000-00-00 00:00:00,PT Kereta Api Indonesia (Persero),DAOP 1 JAKARTA
7,1301,GB306597,KKBW 246,0,Gerbong,16,57,1965,51,Aktiv,,2009-12-28,2020-06-21,0000-00-00,ARAD (RUMANIA),0000-00-00 00:00:00,0000-00-00 00:00:00,PT Kereta Api Indonesia (Persero),DAOP 1 JAKARTA
7,1317,GB3065113,KKBW 41,0,Gerbong,16,57,1965,51,Aktiv,,2009-12-28,2020-08-23,0000-00-00,ARAD (RUMANIA),0000-00-00 00:00:00,0000-00-00 00:00:00,PT Kereta Api Indonesia (Persero),DAOP 1 JAKARTA
7,1318,GB3065114,KKBW 42,0,Gerbong,16,57,1965,51,Aktiv,,2009-12-28,2020-08-23,0000-00-00,ARAD (RUMANIA),0000-00-00 00:00:00,0000-00-00 00:00:00,PT Kereta Api Indonesia (Persero),DAOP 1 JAKARTA
7,1330,GB3065126,KKBW 66,0,Gerbong,16,57,1965,51,Aktiv,,2009-12-28,2020-12-13,0000-00-00,ARAD (RUMANIA),0000-00-00 00:00:00,0000-00-00 00:00:00,PT Kereta Api Indonesia (Persero),DAOP 1 JAKARTA
7,1376,GB3065172,KKBW 64K,0,Gerbong,16,57,1965,51,Aktiv,,2009-12-28,2020-08-23,0000-00-00,ARAD (RUMANIA),0000-00-00 00:00:00,0000-00-00 00:00:00,PT Kereta Api Indonesia (Persero),DAOP 1 JAKARTA
7,1392,GB3065188,KKBW 144K,0,Gerbong,16,57,1965,51,Aktiv,,2009-12-28,2020-05-24,0000-00-00,ARAD (RUMANIA),0000-00-00 00:00:00,0000-00-00 00:00:00,PT Kereta Api Indonesia (Persero),DAOP 1 JAKARTA
7,1394,GB3065190,KKBW 223K,0,Gerbong,16,57,1965,51,Aktiv,,2009-12-28,2020-06-21,0000-00-00,ARAD (RUMANIA),0000-00-00 00:00:00,0000-00-00 00:00:00,PT Kereta Api Indonesia (Persero),DAOP 1 JAKARTA
