,NOMOR_IDENTITAS,DAOP,DEPO,JENIS,TAHUN,NAMA_DAOP2,NAMA_DEPO,KODE_DEPO
2354,GK3084151,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2355,GK3084152,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2356,GK3084153,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2357,GK3084154,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2358,GK3084156,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2359,GK3084158,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2360,GK3084162,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2361,GK3084165,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2362,GK3084167,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2363,GK3084169,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2364,GK3084170,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2365,GK3084171,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2366,GK3084172,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2367,GK3084173,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2368,GK3084174,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2369,GK3084175,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2370,GK3084176,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2371,GK3084177,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2372,GK3084178,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2373,GK3084179,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2374,GK3084181,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2375,GK3084195,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2376,GK3084183,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2377,GK3084186,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2378,GK3084187,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2379,GK3084188,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2380,GK3084190,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2381,GK3084192,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2382,GK3084193,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2383,GK3084194,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2384,GK3084196,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2385,GK3084197,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2386,GK3084198,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2387,GK3084199,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2388,GK3084204,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2389,GK3084206,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2390,GK3084207,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2391,GK3084208,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2392,GK3084209,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2393,GK3084210,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2394,GK3084212,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2395,GK3084213,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2396,GK3084214,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2397,GK3084216,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2398,GK3084217,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2399,GK3084218,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2400,GK3084221,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2401,GK3084222,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2402,GK3084223,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2403,GK3084224,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2404,GK3084225,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2405,GK3084130,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2406,GK3084228,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2407,GK3084229,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2408,GK3084230,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2409,GK3084232,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2410,GK3084233,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2411,GK3084234,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2412,GK3084235,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2413,GK3084238,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2414,GK3084239,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2415,GK3084240,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2416,GK3084241,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2417,GK3084242,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2418,GK3084244,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2419,GK3084245,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2420,GK3084246,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2421,GK3084248,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2422,GK3084249,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2423,GK3084251,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2424,GK3084252,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2425,GK3084254,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2426,GK3084255,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2427,GK3084256,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2428,GK3084257,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2429,GK3084274,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2430,GK3084275,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2431,GK3084276,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2432,GK3084277,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2433,GK3084278,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2434,GK3084279,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2435,GK3084280,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2436,GK3084282,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2437,GK3084283,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2438,GK3084284,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2439,GK3084285,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2440,GK3084286,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2441,GK3084287,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2442,GK3084288,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2443,GK3084289,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2444,GK3084290,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2445,GK3084292,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2446,GK3084295,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2447,GK3084296,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2448,GK3084297,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2449,GK3084298,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2450,GK3084299,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2451,GK3084300,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2452,GK3084301,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2453,GK3084302,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2454,GK3084303,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2455,GK3084304,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2456,GK3084305,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2457,GK3084306,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2458,GK3084307,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2459,GK3084308,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2460,GK3084309,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2461,GK3084311,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2462,GK3084312,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2463,GK3084313,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2464,GK3084315,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2465,GK3084316,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2466,GK3084317,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2467,GK3084318,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2468,GK3084319,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2469,GK3084320,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2470,GK3084321,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2471,GK3084322,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2472,GK3084323,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2473,GK3084324,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2474,GK3084325,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2475,GK3084326,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2476,GK3084327,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2477,GK3084328,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2478,GK3084329,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2479,GK3084330,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2480,GK3084331,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2481,GK3084332,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2482,GK3084333,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2483,GK3084334,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2484,GK3084335,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2485,GK308464,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2486,GK308467,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2487,GK308468,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2488,GK308469,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2489,GK308471,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2490,GK308472,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2491,GK308473,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2492,GK308474,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2493,GK308478,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2494,GK308480,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2495,GK308481,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2496,GK308482,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2497,GK308483,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2498,GK308486,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2499,GK308475,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2500,GK308488,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2501,GK308490,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2502,GK308491,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2503,GK308492,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2504,GK308493,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2505,GK308494,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2506,GK308495,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2507,GK308496,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2508,GK308497,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2509,GK308499,DIVRE 1,MDN,GERBONG,84,DIVRE I,DEPO KERETA MDN,44.0
2510,GB2583100,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2511,GB2583102,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2512,GB2583104,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2513,GB2583105,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2514,GB2583107,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2515,GB2583108,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2516,GB2583109,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2517,GB2583110,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2518,GB2583111,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2519,GB2583112,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2520,GB2583114,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2521,GB2583115,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2522,GB2583116,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2523,GB2583119,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2524,GB2583120,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2525,GB2583121,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2526,GB2583122,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2527,GB2583124,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2528,GB2583125,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2529,GB2583126,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2530,GB2583127,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2531,GB2583128,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2532,GB2583131,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2533,GB2583132,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2534,GB2583134,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2535,GB2583135,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2536,GB2583136,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2537,GB2583141,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2538,GB2583142,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2539,GB2583146,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2540,GB2583149,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2541,GB2583150,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2542,GB258337,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2543,GB258338,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2544,GB258339,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2545,GB258340,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2546,GB258341,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2547,GB258342,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2548,GB258343,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2549,GB258344,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2550,GB258345,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2551,GB258346,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2552,GB258347,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2553,GB258348,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2554,GB258349,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2555,GB258350,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2556,GB258351,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2557,GB258352,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2558,GB258353,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2559,GB258354,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2560,GB258355,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2561,GB258356,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2562,GB258357,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2563,GB258358,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2564,GB258359,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2565,GB258360,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2566,GB258363,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2567,GB258366,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2568,GB258367,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2569,GB258368,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2570,GB258369,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2571,GB258370,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2572,GB258373,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2573,GB258374,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2574,GB258375,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2575,GB258376,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2576,GB258377,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2577,GB258378,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2578,GB258379,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2579,GB258384,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2580,GB258386,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2581,GB258388,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2582,GB258390,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2583,GB258391,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2584,GB258392,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2585,GB258393,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2586,GB258395,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2587,GB258396,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2588,GB258398,DIVRE 2,BKP,GERBONG,83,DIVRE II,DEPO GERBONG BKP,81.0
2589,GB258501,DIVRE 2,BKP,GERBONG,85,DIVRE II,DEPO GERBONG BKP,81.0
2590,GB258502,DIVRE 2,BKP,GERBONG,85,DIVRE II,DEPO GERBONG BKP,81.0
2591,GB258503,DIVRE 2,BKP,GERBONG,85,DIVRE II,DEPO GERBONG BKP,81.0
2592,GB258804,DIVRE 2,BKP,GERBONG,88,DIVRE II,DEPO GERBONG BKP,81.0
2593,GB258807,DIVRE 2,BKP,GERBONG,88,DIVRE II,DEPO GERBONG BKP,81.0
2594,GB258811,DIVRE 2,BKP,GERBONG,88,DIVRE II,DEPO GERBONG BKP,81.0
2595,GB258812,DIVRE 2,BKP,GERBONG,88,DIVRE II,DEPO GERBONG BKP,81.0
2596,GB258813,DIVRE 2,BKP,GERBONG,88,DIVRE II,DEPO GERBONG BKP,81.0
2597,GB258814,DIVRE 2,BKP,GERBONG,88,DIVRE II,DEPO GERBONG BKP,81.0
2598,GB258816,DIVRE 2,BKP,GERBONG,88,DIVRE II,DEPO GERBONG BKP,81.0
2599,GB258817,DIVRE 2,BKP,GERBONG,88,DIVRE II,DEPO GERBONG BKP,81.0
2600,GB258818,DIVRE 2,BKP,GERBONG,88,DIVRE II,DEPO GERBONG BKP,81.0
2601,GB258822,DIVRE 2,BKP,GERBONG,88,DIVRE II,DEPO GERBONG BKP,81.0
2602,GB258823,DIVRE 2,BKP,GERBONG,88,DIVRE II,DEPO GERBONG BKP,81.0
2603,GB258902,DIVRE 2,BKP,GERBONG,89,DIVRE II,DEPO GERBONG BKP,81.0
2604,GB258903,DIVRE 2,BKP,GERBONG,89,DIVRE II,DEPO GERBONG BKP,81.0
2605,GD3084150,DIVRE 2,BKP,GERBONG,84,DIVRE II,DEPO GERBONG BKP,81.0
2606,GK307901,DIVRE 2,BKP,GERBONG,79,DIVRE II,DEPO GERBONG BKP,81.0
2607,GK307902,DIVRE 2,BKP,GERBONG,79,DIVRE II,DEPO GERBONG BKP,81.0
2608,GK307904,DIVRE 2,BKP,GERBONG,79,DIVRE II,DEPO GERBONG BKP,81.0
2609,GK307905,DIVRE 2,BKP,GERBONG,79,DIVRE II,DEPO GERBONG BKP,81.0
2610,GK307906,DIVRE 2,BKP,GERBONG,79,DIVRE II,DEPO GERBONG BKP,81.0
2611,GK307907,DIVRE 2,BKP,GERBONG,79,DIVRE II,DEPO GERBONG BKP,81.0
2612,GK307908,DIVRE 2,BKP,GERBONG,79,DIVRE II,DEPO GERBONG BKP,81.0
2613,GK307909,DIVRE 2,BKP,GERBONG,79,DIVRE II,DEPO GERBONG BKP,81.0
2614,GK307910,DIVRE 2,BKP,GERBONG,79,DIVRE II,DEPO GERBONG BKP,81.0
2615,GK307911,DIVRE 2,BKP,GERBONG,79,DIVRE II,DEPO GERBONG BKP,81.0
2616,GK307913,DIVRE 2,BKP,GERBONG,79,DIVRE II,DEPO GERBONG BKP,81.0
2617,GK307914,DIVRE 2,BKP,GERBONG,79,DIVRE II,DEPO GERBONG BKP,81.0
2618,GK307915,DIVRE 2,BKP,GERBONG,79,DIVRE II,DEPO GERBONG BKP,81.0
2619,GK307917,DIVRE 2,BKP,GERBONG,79,DIVRE II,DEPO GERBONG BKP,81.0
2620,GK307918,DIVRE 2,BKP,GERBONG,79,DIVRE II,DEPO GERBONG BKP,81.0
