,NOMOR_IDENTITAS,DAOP,DEPO,JENIS,TAHUN,NAMA_DAOP2,NAMA_DEPO,KODE_DEPO
64,GD421107,DAOP 1,RK,GERBONG,11,DAOP 1,DEPO KERETA RK,57.0
65,GD421108,DAOP 1,RK,GERBONG,11,DAOP 1,DEPO KERETA RK,57.0
66,GD421109,DAOP 1,RK,GERBONG,11,DAOP 1,DEPO KERETA RK,57.0
67,GD421110,DAOP 1,RK,GERBONG,11,DAOP 1,DEPO KERETA RK,57.0
68,GD4211100,DAOP 1,RK,GERBONG,11,DAOP 1,DEPO KERETA RK,57.0
69,GD4211101,DAOP 1,RK,GERBONG,11,DAOP 1,DEPO KERETA RK,57.0
70,GD4211102,DAOP 1,RK,GERBONG,11,DAOP 1,DEPO KERETA RK,57.0
71,GD4211103,DAOP 1,RK,GERBONG,11,DAOP 1,DEPO KERETA RK,57.0
72,GD4211104,DAOP 1,RK,GERBONG,11,DAOP 1,DEPO KERETA RK,57.0
73,GD4211106,DAOP 1,RK,GERBONG,11,DAOP 1,DEPO KERETA RK,57.0
74,GD4211107,DAOP 1,RK,GERBONG,11,DAOP 1,DEPO KERETA RK,57.0
75,GD4211108,DAOP 1,RK,GERBONG,11,DAOP 1,DEPO KERETA RK,57.0
76,GD4211109,DAOP 8,SDT,GERBONG,11,DAOP 8,DEPO GERBONG SDT,64.0
77,GD421111,DAOP 1,RK,GERBONG,11,DAOP 1,DEPO KERETA RK,57.0
78,GD4211110,DAOP 8,SDT,GERBONG,11,DAOP 8,DEPO GERBONG SDT,64.0
79,GD4211111,DAOP 8,SDT,GERBONG,11,DAOP 8,DEPO GERBONG SDT,64.0
80,GD4211112,DAOP 8,SDT,GERBONG,11,DAOP 8,DEPO GERBONG SDT,64.0
81,GD4211113,DAOP 8,SDT,GERBONG,11,DAOP 8,DEPO GERBONG SDT,64.0
82,GD4211114,DAOP 8,SDT,GERBONG,11,DAOP 8,DEPO GERBONG SDT,64.0
83,GD4211115,DAOP 8,SDT,GERBONG,11,DAOP 8,DEPO GERBONG SDT,64.0
84,GD4211116,DIVRE 3,SIG,GERBONG,11,DIVRE III,DEPO GERBONG SIG,82.0
85,GD4211117,DAOP 1,JAKG,GERBONG,11,DAOP 1,DEPO GERBONG JAKG,19.0
86,GD4211118,DAOP 8,SDT,GERBONG,11,DAOP 8,DEPO GERBONG SDT,64.0
87,GD4211119,DAOP 8,SDT,GERBONG,11,DAOP 8,DEPO GERBONG SDT,64.0
88,GD421112,DAOP 1,RK,GERBONG,11,DAOP 1,DEPO KERETA RK,57.0
89,GD4211120,DAOP 1,JAKG,GERBONG,11,DAOP 1,DEPO GERBONG JAKG,19.0
90,GD4211121,DAOP 1,JAKG,GERBONG,11,DAOP 1,DEPO GERBONG JAKG,19.0
91,GD4211122,DIVRE 3,SIG,GERBONG,11,DIVRE III,DEPO GERBONG SIG,82.0
