"36","SN03102","NRU 7003 / EX. GGW/SN08504","0","9","19","176","1985","18","49","Aktiv","null","0000-00-00","0000-00-00","0000-00-00","ARAD (RUMANIA)","2","0000-00-00 00:00:00","0000-00-00 00:00:00"
"37","SN09101","NR 20 / EX. GGW","0","9","19","171","1991","26","48","Aktiv","null","0000-00-00","0000-00-00","0000-00-00","ARAD (RUMANIA)","2","0000-00-00 00:00:00","0000-00-00 00:00:00"
"38","SN08508","NR 105 Ex GGW 105/SN09501","0","9","19","166","1995","10","69","Aktiv","null","0000-00-00","2019-09-22","0000-00-00","ARAD (RUMANIA)","2","0000-00-00 00:00:00","0000-00-00 00:00:00"
"39","SN08509","NRU 5051 / EX. GGW/SN00101","0","9","19","180","2001","18","49","Aktiv","null","0000-00-00","0000-00-00","0000-00-00","ARAD (RUMANIA)","2","0000-00-00 00:00:00","0000-00-00 00:00:00"
"40","SN08510","GGWRU 140/SN00201","0","9","19","160","2002","11","27","Aktiv","null","0000-00-00","2019-03-15","0000-00-00","ARAD (RUMANIA)","2","0000-00-00 00:00:00","0000-00-00 00:00:00"
"41","SN08511","NR 25 ex cabonase 25 / SN00301","0","9","19","173","2003","18","55","Aktiv","null","0000-00-00","0000-00-00","0000-00-00","ARAD (RUMANIA)","2","0000-00-00 00:00:00","0000-00-00 00:00:00"
"42","SN08202","NR 16 / EX. GGW / SN00401","0","9","19","168","2004","8","20","Aktiv","null","0000-00-00","0000-00-00","0000-00-00","ARAD (RUMANIA)","2","0000-00-00 00:00:00","0000-00-00 00:00:00"
"43","SN00801","NNW 08501","0","9","19","163","2008","12","30","Tidak Aktiv","null","0000-00-00","0000-00-00","0000-00-00","PT INKA","2","0000-00-00 00:00:00","0000-00-00 00:00:00"
"44","SN00802","NNW 08502","0","9","19","164","2008","8","20","Tidak Aktiv","null","0000-00-00","0000-00-00","0000-00-00","PT INKA","2","0000-00-00 00:00:00","0000-00-00 00:00:00"
"45","SN03103","DRU 04/SN00901","0","9","19","145","2009","26","48","Aktiv","null","0000-00-00","0000-00-00","0000-00-00","ARAD (RUMANIA)","2","0000-00-00 00:00:00","0000-00-00 00:00:00"
"46","SN03104","DRU 7002/SN00902","0","9","19","146","2009","26","48","Aktiv","null","0000-00-00","0000-00-00","0000-00-00","ARAD (RUMANIA)","2","0000-00-00 00:00:00","0000-00-00 00:00:00"
"47","SN03105","NW 4 ex CRU 7003/SN00903","0","9","19","183","2009","26","66","Aktiv","null","0000-00-00","0000-00-00","0000-00-00","ARAD (RUMANIA)","2","0000-00-00 00:00:00","0000-00-00 00:00:00"
"48","SN03106","NW 4 ex DRU 5053/SN00904","0","9","19","182","2009","26","66","Aktiv","null","0000-00-00","0000-00-00","0000-00-00","ARAD (RUMANIA)","2","0000-00-00 00:00:00","0000-00-00 00:00:00"
"49","SN08203","NR 14 /EX. GGW/SN01001","0","9","19","167","2010","18","49","Aktiv","null","0000-00-00","0000-00-00","0000-00-00","ARAD (RUMANIA)","2","0000-00-00 00:00:00","0000-00-00 00:00:00"
"50","SN06401","NR 8505 / SN01002","0","9","19","179","2010","7","15","Aktiv","null","0000-00-00","2019-10-20","0000-00-00","ARAD (RUMANIA)","2","0000-00-00 00:00:00","0000-00-00 00:00:00"
"51","SN08512","NW 78710/SN01003","0","9","19","184","2010","26","48","Aktiv","null","0000-00-00","2020-10-17","0000-00-00","PT INKA","2","0000-00-00 00:00:00","0000-00-00 00:00:00"
"52","SR38409","PBR 453","0","9","22","116","1984","16","44","Aktiv","null","0000-00-00","2018-05-24","0000-00-00","PLASSER AND THEURER","2","0000-00-00 00:00:00","0000-00-00 00:00:00"
"53","SN31001","NW 87201","0","9","19","185","2010","7","17","Aktiv","null","0000-00-00","0000-00-00","0000-00-00","PT INKA","2","0000-00-00 00:00:00","0000-00-00 00:00:00"
