;NOMOR_IDENTITAS;DAOP;DEPO;JENIS
2553;GB258342;DIVRE 2;BKP;GERBONG
2554;GB258343;DIVRE 2;BKP;GERBONG
2555;GB258344;DIVRE 2;BKP;GERBONG
2556;GB258345;DIVRE 2;BKP;GERBONG
2557;GB258346;DIVRE 2;BKP;GERBONG
2558;GB258347;DIVRE 2;BKP;GERBONG
2559;GB258348;DIVRE 2;BKP;GERBONG
2560;GB258349;DIVRE 2;BKP;GERBONG
2561;GB258350;DIVRE 2;BKP;GERBONG
2562;GB258351;DIVRE 2;BKP;GERBONG
2563;GB258352;DIVRE 2;BKP;GERBONG
2564;GB258353;DIVRE 2;BKP;GERBONG
2565;GB258354;DIVRE 2;BKP;GERBONG
2566;GB258355;DIVRE 2;BKP;GERBONG
2567;GB258356;DIVRE 2;BKP;GERBONG
2568;GB258357;DIVRE 2;BKP;GERBONG
2569;GB258358;DIVRE 2;BKP;GERBONG
2570;GB258359;DIVRE 2;BKP;GERBONG
2571;GB258360;DIVRE 2;BKP;GERBONG
2572;GB258363;DIVRE 2;BKP;GERBONG
2573;GB258366;DIVRE 2;BKP;GERBONG
2574;GB258367;DIVRE 2;BKP;GERBONG
2575;GB258368;DIVRE 2;BKP;GERBONG
2576;GB258369;DIVRE 2;BKP;GERBONG
2577;GB258370;DIVRE 2;BKP;GERBONG
2578;GB258373;DIVRE 2;BKP;GERBONG
2579;GB258374;DIVRE 2;BKP;GERBONG
2580;GB258375;DIVRE 2;BKP;GERBONG
2581;GB258376;DIVRE 2;BKP;GERBONG
2582;GB258377;DIVRE 2;BKP;GERBONG
2583;GB258378;DIVRE 2;BKP;GERBONG
2584;GB258379;DIVRE 2;BKP;GERBONG
2585;GB258384;DIVRE 2;BKP;GERBONG
2586;GB258386;DIVRE 2;BKP;GERBONG
2587;GB258388;DIVRE 2;BKP;GERBONG
2588;GB258390;DIVRE 2;BKP;GERBONG
2589;GB258391;DIVRE 2;BKP;GERBONG
2590;GB258392;DIVRE 2;BKP;GERBONG
2591;GB258393;DIVRE 2;BKP;GERBONG
2592;GB258395;DIVRE 2;BKP;GERBONG
2593;GB258396;DIVRE 2;BKP;GERBONG
2594;GB258398;DIVRE 2;BKP;GERBONG
2595;GB258501;DIVRE 2;BKP;GERBONG
2596;GB258502;DIVRE 2;BKP;GERBONG
2597;GB258503;DIVRE 2;BKP;GERBONG
2598;GB258804;DIVRE 2;BKP;GERBONG
2599;GB258807;DIVRE 2;BKP;GERBONG
2600;GB258811;DIVRE 2;BKP;GERBONG
2601;GB258812;DIVRE 2;BKP;GERBONG
2602;GB258813;DIVRE 2;BKP;GERBONG
2603;GB258814;DIVRE 2;BKP;GERBONG
2604;GB258816;DIVRE 2;BKP;GERBONG
2605;GB258817;DIVRE 2;BKP;GERBONG
2606;GB258818;DIVRE 2;BKP;GERBONG
2607;GB258822;DIVRE 2;BKP;GERBONG
2608;GB258823;DIVRE 2;BKP;GERBONG
2609;GB258902;DIVRE 2;BKP;GERBONG
2610;GB258903;DIVRE 2;BKP;GERBONG
2611;GD3084150;DIVRE 2;BKP;GERBONG
2612;GK307901;DIVRE 2;BKP;GERBONG
2613;GK307902;DIVRE 2;BKP;GERBONG
2614;GK307904;DIVRE 2;BKP;GERBONG
2615;GK307905;DIVRE 2;BKP;GERBONG
2616;GK307906;DIVRE 2;BKP;GERBONG
2617;GK307907;DIVRE 2;BKP;GERBONG
2618;GK307908;DIVRE 2;BKP;GERBONG
2619;GK307909;DIVRE 2;BKP;GERBONG
2620;GK307910;DIVRE 2;BKP;GERBONG
2621;GK307911;DIVRE 2;BKP;GERBONG
2622;GK307913;DIVRE 2;BKP;GERBONG
2623;GK307914;DIVRE 2;BKP;GERBONG
2624;GK307915;DIVRE 2;BKP;GERBONG
2625;GK307917;DIVRE 2;BKP;GERBONG
2626;GK307918;DIVRE 2;BKP;GERBONG
2627;GK307920;DIVRE 2;BKP;GERBONG
2628;GK307921;DIVRE 2;BKP;GERBONG
2629;GK307922;DIVRE 2;BKP;GERBONG
2630;GK307923;DIVRE 2;BKP;GERBONG
2631;GK307924;DIVRE 2;BKP;GERBONG
2632;GK307925;DIVRE 2;BKP;GERBONG
2633;GK3084336;DIVRE 2;BKP;GERBONG
2634;GK3084337;DIVRE 2;BKP;GERBONG
2635;GK3084338;DIVRE 2;BKP;GERBONG
2636;GK3084339;DIVRE 2;BKP;GERBONG
2637;GK3084340;DIVRE 2;BKP;GERBONG
2638;GK3084341;DIVRE 2;BKP;GERBONG
2639;GK3084343;DIVRE 2;BKP;GERBONG
2640;GK3084344;DIVRE 2;BKP;GERBONG
2641;GK3084345;DIVRE 2;BKP;GERBONG
2642;GK3084347;DIVRE 2;BKP;GERBONG
2643;GK3084348;DIVRE 2;BKP;GERBONG
2644;GK3084349;DIVRE 2;BKP;GERBONG
2645;GK3084350;DIVRE 2;BKP;GERBONG
2646;GK3084351;DIVRE 2;BKP;GERBONG
2647;GK3084352;DIVRE 2;BKP;GERBONG
2648;GK3084353;DIVRE 2;BKP;GERBONG
2649;GK3084354;DIVRE 2;BKP;GERBONG
2650;GK3084355;DIVRE 2;BKP;GERBONG
2651;GK3084357;DIVRE 2;BKP;GERBONG
2652;GK3084358;DIVRE 2;BKP;GERBONG
2653;GK3084359;DIVRE 2;BKP;GERBONG
2654;GK3084360;DIVRE 2;BKP;GERBONG
2655;GK3084361;DIVRE 2;BKP;GERBONG
2656;GK3084365;DIVRE 2;BKP;GERBONG
2657;GK3084366;DIVRE 2;BKP;GERBONG
2658;GK3084367;DIVRE 2;BKP;GERBONG
2659;GK3084368;DIVRE 2;BKP;GERBONG
2660;GK3084369;DIVRE 2;BKP;GERBONG
2661;GK3084370;DIVRE 2;BKP;GERBONG
2662;GK3084372;DIVRE 2;BKP;GERBONG
2663;GK3084373;DIVRE 2;BKP;GERBONG
2664;GK3084374;DIVRE 2;BKP;GERBONG
2665;GK3084375;DIVRE 2;BKP;GERBONG
2666;GK3084376;DIVRE 2;BKP;GERBONG
2667;GK3084377;DIVRE 2;BKP;GERBONG
2668;GK3084378;DIVRE 2;BKP;GERBONG
2669;GK308501;DIVRE 2;BKP;GERBONG
2670;GK308502;DIVRE 2;BKP;GERBONG
2671;GK308503;DIVRE 2;BKP;GERBONG
2672;GK308504;DIVRE 2;BKP;GERBONG
2673;GK308505;DIVRE 2;BKP;GERBONG
2674;GK308506;DIVRE 2;BKP;GERBONG
2675;GK308507;DIVRE 2;BKP;GERBONG
2676;GK308508;DIVRE 2;BKP;GERBONG
2677;GK308510;DIVRE 2;BKP;GERBONG
2678;GK308511;DIVRE 2;BKP;GERBONG
2679;GK308512;DIVRE 2;BKP;GERBONG
2680;GK308513;DIVRE 2;BKP;GERBONG
2681;GK308514;DIVRE 2;BKP;GERBONG
2682;GK308515;DIVRE 2;BKP;GERBONG
2683;GK308517;DIVRE 2;BKP;GERBONG
2684;GK308518;DIVRE 2;BKP;GERBONG
2685;GK308519;DIVRE 2;BKP;GERBONG
2686;GK308520;DIVRE 2;BKP;GERBONG
2687;GK308521;DIVRE 2;BKP;GERBONG
2688;GK308522;DIVRE 2;BKP;GERBONG
2689;GK308523;DIVRE 2;BKP;GERBONG
2690;GK308524;DIVRE 2;BKP;GERBONG
2691;GK308525;DIVRE 2;BKP;GERBONG
2692;GK308526;DIVRE 2;BKP;GERBONG
2693;GK308527;DIVRE 2;BKP;GERBONG
2694;GK308529;DIVRE 2;BKP;GERBONG
2695;GK308530;DIVRE 2;BKP;GERBONG
2696;GK308531;DIVRE 2;BKP;GERBONG
2697;GK308532;DIVRE 2;BKP;GERBONG
2698;GK308533;DIVRE 2;BKP;GERBONG
2699;GK308534;DIVRE 2;BKP;GERBONG
2700;GK308535;DIVRE 2;BKP;GERBONG
2701;GK308536;DIVRE 2;BKP;GERBONG
2702;GK308537;DIVRE 2;BKP;GERBONG
2703;GK309401;DIVRE 2;BKP;GERBONG
2704;GK309402;DIVRE 2;BKP;GERBONG
2705;GK309403;DIVRE 2;BKP;GERBONG
2706;GK309404;DIVRE 2;BKP;GERBONG
2707;GK309405;DIVRE 2;BKP;GERBONG
2708;GK309406;DIVRE 2;BKP;GERBONG
2709;GK309407;DIVRE 2;BKP;GERBONG
2710;GK309408;DIVRE 2;BKP;GERBONG
2711;GK309409;DIVRE 2;BKP;GERBONG
2712;GK309410;DIVRE 2;BKP;GERBONG
2713;GK309701;DIVRE 2;BKP;GERBONG
2714;GK309702;DIVRE 2;BKP;GERBONG
2715;GK309703;DIVRE 2;BKP;GERBONG
2716;GK309704;DIVRE 2;BKP;GERBONG
2717;GK309705;DIVRE 2;BKP;GERBONG
2718;GK309706;DIVRE 2;BKP;GERBONG
2719;GK309707;DIVRE 2;BKP;GERBONG
2720;GK309708;DIVRE 2;BKP;GERBONG
2721;GK309709;DIVRE 2;BKP;GERBONG
2722;GB3065107;DIVRE 3;SIG;GERBONG
2723;GB3065108;DIVRE 3;SIG;GERBONG
2724;GB3065109;DIVRE 3;SIG;GERBONG
2725;GB3065110;DIVRE 1;MDN;GERBONG
2726;GB3065111;DIVRE 3;SIG;GERBONG
2727;GB3065112;DIVRE 3;SIG;GERBONG
2728;GB3065115;DAOP 7;BL;GERBONG
2729;GB3065116;DIVRE 3;SIG;GERBONG
2730;GB3065117;DIVRE 3;SIG;GERBONG
2731;GB3065118;DAOP 7;BL;GERBONG
2732;GB3065119;DIVRE 3;SIG;GERBONG
2733;GB3065120;DIVRE 3;SIG;GERBONG
2734;GB3065122;DIVRE 3;SIG;GERBONG
2735;GB3065123;DIVRE 3;SIG;GERBONG
2736;GB3065125;DIVRE 3;SIG;GERBONG
2737;GB3065128;DIVRE 3;SIG;GERBONG
2738;GB3065129;DIVRE 3;SIG;GERBONG
2739;GB3065130;DIVRE 3;SIG;GERBONG
2740;GB3065131;DIVRE 3;SIG;GERBONG
2741;GB3065136;DIVRE 3;SIG;GERBONG
2742;GB3065137;DIVRE 3;SIG;GERBONG
2743;GB3065139;DIVRE 3;SIG;GERBONG
2744;GB3065141;DIVRE 3;SIG;GERBONG
2745;GB3065142;DIVRE 3;SIG;GERBONG
2746;GB3065143;DIVRE 3;SIG;GERBONG
2747;GB3065144;DIVRE 3;SIG;GERBONG
2748;GB3065145;DIVRE 3;SIG;GERBONG
2749;GB3065146;DIVRE 3;SIG;GERBONG
2750;GB3065147;DIVRE 3;SIG;GERBONG
2751;GB3065149;DIVRE 3;SIG;GERBONG
2752;GB3065152;DIVRE 3;SIG;GERBONG
2753;GB3065153;DIVRE 3;SIG;GERBONG
2754;GB3065154;DIVRE 3;SIG;GERBONG
2755;GB3065155;DIVRE 3;SIG;GERBONG
2756;GB3065156;DIVRE 3;SIG;GERBONG
2757;GB3065159;DIVRE 3;SIG;GERBONG
2758;GB3065160;DIVRE 3;SIG;GERBONG
2759;GB3065161;DIVRE 3;SIG;GERBONG
2760;GB3065162;DIVRE 3;SIG;GERBONG
2761;GB3065164;DIVRE 3;SIG;GERBONG
2762;GB3065165;DIVRE 3;SIG;GERBONG
2763;GB3065166;DIVRE 3;SIG;GERBONG
2764;GB3065168;DAOP 7;BL;GERBONG
2765;GB3065169;DIVRE 3;SIG;GERBONG
2766;GB3065170;DIVRE 3;SIG;GERBONG
2767;GB3065171;DIVRE 1;MDN;GERBONG
2768;GB3065173;DIVRE 3;SIG;GERBONG
2769;GB3065174;DIVRE 3;SIG;GERBONG
2770;GB3065177;DIVRE 3;SIG;GERBONG
2771;GB3065180;DIVRE 3;SIG;GERBONG
2772;GB3065182;DIVRE 3;SIG;GERBONG
2773;GB3065185;DIVRE 3;SIG;GERBONG
2774;GB3065186;DIVRE 3;SIG;GERBONG
2775;GB3065189;DIVRE 3;SIG;GERBONG
2776;GB3065191;DIVRE 3;SIG;GERBONG
2777;GB3065193;DIVRE 3;SIG;GERBONG
2778;GB3065194;DIVRE 1;MDN;GERBONG
2779;GB3065195;DIVRE 3;SIG;GERBONG
2780;GB3065196;DIVRE 3;SIG;GERBONG
2781;GB3065200;DIVRE 3;SIG;GERBONG
2782;GB3065201;DIVRE 1;MDN;GERBONG
2783;GB3065202;DIVRE 3;SIG;GERBONG
2784;GB3065241;DIVRE 3;SIG;GERBONG
2785;GB3065244;DIVRE 3;SIG;GERBONG
2786;GB3065246;DIVRE 3;SIG;GERBONG
2787;GB3065248;DIVRE 3;SIG;GERBONG
2788;GB3065254;DIVRE 3;SIG;GERBONG
2789;GB3065255;DIVRE 3;SIG;GERBONG
2790;GB3065268;DAOP 7;BL;GERBONG
2791;GB3065285;DIVRE 1;MDN;GERBONG
2792;GB306537;DIVRE 3;SIG;GERBONG
2793;GB306538;DIVRE 3;SIG;GERBONG
2794;GB306541;DIVRE 3;SIG;GERBONG
2795;GB306545;DIVRE 3;SIG;GERBONG
2796;GB306549;DIVRE 3;SIG;GERBONG
2797;GB306550;DIVRE 1;MDN;GERBONG
2798;GB306551;DIVRE 3;SIG;GERBONG
2799;GB306552;DIVRE 3;SIG;GERBONG
2800;GB306554;DIVRE 3;SIG;GERBONG
2801;GB306556;DIVRE 3;SIG;GERBONG
2802;GB306559;DIVRE 3;SIG;GERBONG
2803;GB306563;DAOP 7;BL;GERBONG
2804;GB306564;DIVRE 3;SIG;GERBONG
2805;GB306565;DIVRE 3;SIG;GERBONG
2806;GB306567;DIVRE 3;SIG;GERBONG
2807;GB306568;DIVRE 3;SIG;GERBONG
2808;GB306569;DIVRE 3;SIG;GERBONG
2809;GB306572;DIVRE 3;SIG;GERBONG
2810;GB306573;DIVRE 3;SIG;GERBONG
2811;GB306574;DAOP 7;BL;GERBONG
2812;GB306576;DIVRE 3;SIG;GERBONG
2813;GB306577;DAOP 7;BL;GERBONG
2814;GB306578;DIVRE 3;SIG;GERBONG
2815;GB306579;DIVRE 3;SIG;GERBONG
2816;GB306580;DIVRE 1;MDN;GERBONG
2817;GB306581;DAOP 7;BL;GERBONG
2818;GB306584;DIVRE 3;SIG;GERBONG
2819;GB306588;DIVRE 3;SIG;GERBONG
2820;GB306589;DIVRE 3;SIG;GERBONG
2821;GB306590;DIVRE 3;SIG;GERBONG
2822;GB306591;DIVRE 3;SIG;GERBONG
2823;GB306592;DIVRE 3;SIG;GERBONG
2824;GB306593;DIVRE 3;SIG;GERBONG
2825;GB306596;DIVRE 3;SIG;GERBONG
2826;GB306598;DIVRE 3;SIG;GERBONG
2827;GB306601;DIVRE 3;SIG;GERBONG
2828;GB306602;DIVRE 3;SIG;GERBONG
2829;GB306603;DIVRE 3;SIG;GERBONG
2830;GB306604;DIVRE 3;SIG;GERBONG
2831;GB306606;DIVRE 3;SIG;GERBONG
2832;GB306607;DIVRE 3;SIG;GERBONG
2833;GB306609;DIVRE 3;SIG;GERBONG
2834;GB306610;DIVRE 3;SIG;GERBONG
2835;GB306613;DIVRE 3;SIG;GERBONG
2836;GB306615;DIVRE 3;SIG;GERBONG
2837;GB306618;DIVRE 3;SIG;GERBONG
2838;GB306619;DIVRE 3;SIG;GERBONG
2839;GB306620;DIVRE 3;SIG;GERBONG
2840;GB306621;DIVRE 3;SIG;GERBONG
2841;GB306623;DIVRE 3;SIG;GERBONG
2842;GB306624;DIVRE 3;SIG;GERBONG
2843;GB306626;DIVRE 3;SIG;GERBONG
2844;GB306627;DIVRE 1;MDN;GERBONG
2845;GB306629;DIVRE 3;SIG;GERBONG
2846;GB306631;DIVRE 3;SIG;GERBONG
2847;GB306632;DIVRE 3;SIG;GERBONG
2848;GB306633;DIVRE 3;SIG;GERBONG
2849;GB306634;DIVRE 3;SIG;GERBONG
2850;GB306636;DIVRE 3;SIG;GERBONG
2851;GB306637;DIVRE 3;SIG;GERBONG
2852;GB306638;DIVRE 3;SIG;GERBONG
2853;GB306639;DIVRE 3;SIG;GERBONG
2854;GB306640;DIVRE 3;SIG;GERBONG
2855;GB306641;DIVRE 3;SIG;GERBONG
2856;GB306644;DIVRE 3;SIG;GERBONG
2857;GB306645;DAOP 7;BL;GERBONG
2858;GB306646;DIVRE 1;MDN;GERBONG
2859;GB306647;DIVRE 3;SIG;GERBONG
2860;GB306648;DIVRE 3;SIG;GERBONG
2861;GB306650;DIVRE 3;SIG;GERBONG
2862;GB306651;DIVRE 3;SIG;GERBONG
2863;GB306657;DIVRE 3;SIG;GERBONG
2864;GB306659;DIVRE 3;SIG;GERBONG
2865;GB306660;DIVRE 3;SIG;GERBONG
2866;GB306661;DIVRE 3;SIG;GERBONG
2867;GB306663;DAOP 7;BL;GERBONG
2868;GB306664;DAOP 7;BL;GERBONG
2869;GB306666;DIVRE 3;SIG;GERBONG
2870;GB306668;DIVRE 3;SIG;GERBONG
2871;GB306669;DIVRE 3;SIG;GERBONG
2872;GB306670;DIVRE 3;SIG;GERBONG
2873;GB306671;DIVRE 3;SIG;GERBONG
2874;GB306673;DIVRE 1;MDN;GERBONG
2875;GB306674;DIVRE 3;SIG;GERBONG
2876;GB306701;DIVRE 3;SIG;GERBONG
2877;GB306702;DIVRE 3;SIG;GERBONG
2878;GB306703;DIVRE 3;SIG;GERBONG
2879;GB306704;DIVRE 3;SIG;GERBONG
2880;GB306705;DIVRE 3;SIG;GERBONG
2881;GB306707;DIVRE 3;SIG;GERBONG
2882;GB306710;DIVRE 3;SIG;GERBONG
2883;GB306714;DIVRE 3;SIG;GERBONG
2884;GB306715;DIVRE 3;SIG;GERBONG
2885;GB306716;DIVRE 3;SIG;GERBONG
2886;GB306717;DIVRE 3;SIG;GERBONG
2887;GB306718;DIVRE 3;SIG;GERBONG
2888;GB306719;DIVRE 3;SIG;GERBONG
2889;GB306720;DAOP 7;BL;GERBONG
2890;GB306721;DIVRE 3;SIG;GERBONG
2891;GB306723;DIVRE 3;SIG;GERBONG
2892;GB450001;DIVRE 3;SIG;GERBONG
2893;GB450003;DIVRE 3;SIG;GERBONG
2894;GB450004;DIVRE 3;SIG;GERBONG
2895;GB450005;DIVRE 3;SIG;GERBONG
2896;GB450007;DIVRE 3;SIG;GERBONG
2897;GB450009;DIVRE 3;SIG;GERBONG
2898;GB450010;DIVRE 3;SIG;GERBONG
2899;GB450011;DIVRE 3;SIG;GERBONG
2900;GB450013;DIVRE 3;SIG;GERBONG
2901;GB450015;DIVRE 3;SIG;GERBONG
2902;GB450016;DIVRE 3;SIG;GERBONG
2903;GB450017;DIVRE 3;SIG;GERBONG
2904;GB450018;DIVRE 3;SIG;GERBONG
2905;GB450019;DIVRE 3;SIG;GERBONG
2906;GB450020;DIVRE 3;SIG;GERBONG
2907;GB450021;DIVRE 3;SIG;GERBONG
2908;GB450022;DIVRE 3;SIG;GERBONG
2909;GB450023;DIVRE 3;SIG;GERBONG
2910;GB450024;DIVRE 3;SIG;GERBONG
2911;GB450025;DIVRE 3;SIG;GERBONG
2912;GB450027;DIVRE 3;SIG;GERBONG
2913;GB450028;DIVRE 3;SIG;GERBONG
2914;GB450029;DIVRE 3;SIG;GERBONG
2915;GB450031;DIVRE 3;SIG;GERBONG
2916;GB450032;DIVRE 3;SIG;GERBONG
2917;GB450033;DIVRE 3;SIG;GERBONG
2918;GB450034;DIVRE 3;SIG;GERBONG
2919;GB450035;DIVRE 3;SIG;GERBONG
2920;GB450036;DIVRE 3;SIG;GERBONG
2921;GB450037;DIVRE 3;SIG;GERBONG
2922;GB450038;DIVRE 3;SIG;GERBONG
2923;GB450039;DIVRE 3;SIG;GERBONG
2924;GB450040;DIVRE 3;SIG;GERBONG
2925;GB450041;DIVRE 3;SIG;GERBONG
2926;GB450042;DIVRE 3;SIG;GERBONG
2927;GB450043;DIVRE 3;SIG;GERBONG
2928;GB450044;DIVRE 3;SIG;GERBONG
2929;GB450045;DIVRE 3;SIG;GERBONG
2930;GB450046;DIVRE 3;SIG;GERBONG
2931;GB450047;DIVRE 3;SIG;GERBONG
2932;GB450049;DIVRE 3;SIG;GERBONG
2933;GB450050;DIVRE 3;SIG;GERBONG
2934;GB450051;DIVRE 3;SIG;GERBONG
2935;GB450052;DIVRE 3;SIG;GERBONG
2936;GB450053;DIVRE 3;SIG;GERBONG
2937;GB450054;DIVRE 3;SIG;GERBONG
2938;GB450055;DIVRE 3;SIG;GERBONG
2939;GB450056;DIVRE 3;SIG;GERBONG
2940;GB450057;DIVRE 3;SIG;GERBONG
2941;GB450058;DIVRE 3;SIG;GERBONG
2942;GB450059;DIVRE 3;SIG;GERBONG
2943;GB450060;DIVRE 3;SIG;GERBONG
2944;GB450061;DIVRE 3;SIG;GERBONG
2945;GB450062;DIVRE 3;SIG;GERBONG
2946;GB450063;DIVRE 3;SIG;GERBONG
2947;GB450064;DIVRE 3;SIG;GERBONG
2948;GB450065;DIVRE 3;SIG;GERBONG
2949;GB450066;DIVRE 3;SIG;GERBONG
2950;GB450067;DIVRE 3;SIG;GERBONG
2951;GB450068;DIVRE 3;SIG;GERBONG
2952;GB450069;DIVRE 3;SIG;GERBONG
2953;GB450070;DIVRE 3;SIG;GERBONG
2954;GB450071;DIVRE 3;SIG;GERBONG
2955;GB450072;DIVRE 3;SIG;GERBONG
2956;GB450073;DIVRE 3;SIG;GERBONG
2957;GB450074;DIVRE 3;SIG;GERBONG
2958;GB450075;DIVRE 3;SIG;GERBONG
2959;GB450076;DIVRE 3;SIG;GERBONG
2960;GB450077;DIVRE 3;SIG;GERBONG
2961;GB450078;DIVRE 3;SIG;GERBONG
2962;GB459701;DIVRE 3;SIG;GERBONG
2963;GB459901;DIVRE 3;SIG;GERBONG
2964;GB459902;DIVRE 3;SIG;GERBONG
2965;GB459903;DIVRE 3;SIG;GERBONG
2966;GB459904;DIVRE 3;SIG;GERBONG
2967;GB459905;DIVRE 3;SIG;GERBONG
2968;GB459906;DIVRE 3;SIG;GERBONG
2969;GB459907;DIVRE 3;SIG;GERBONG
2970;GB459908;DIVRE 3;SIG;GERBONG
2971;GB459909;DIVRE 3;SIG;GERBONG
2972;GB459910;DIVRE 3;SIG;GERBONG
2973;GB459911;DIVRE 3;SIG;GERBONG
2974;GB459912;DIVRE 3;SIG;GERBONG
2975;GB459913;DIVRE 3;SIG;GERBONG
2976;GB459914;DIVRE 3;SIG;GERBONG
2977;GB459915;DIVRE 3;SIG;GERBONG
2978;GB459916;DIVRE 3;SIG;GERBONG
2979;GB459917;DIVRE 3;SIG;GERBONG
2980;GB459918;DIVRE 3;SIG;GERBONG
2981;GB459919;DIVRE 3;SIG;GERBONG
2982;GB459920;DIVRE 3;SIG;GERBONG
2983;GB459922;DIVRE 3;SIG;GERBONG
2984;GB459923;DIVRE 3;SIG;GERBONG
2985;GB459924;DIVRE 3;SIG;GERBONG
2986;GB459925;DIVRE 3;SIG;GERBONG
2987;GB459926;DIVRE 3;SIG;GERBONG
2988;GB459927;DIVRE 3;SIG;GERBONG
2989;GB459928;DIVRE 3;SIG;GERBONG
2990;GB459929;DIVRE 3;SIG;GERBONG
2991;GB459930;DIVRE 3;SIG;GERBONG
2992;GB459931;DIVRE 3;SIG;GERBONG
2993;GB459932;DIVRE 3;SIG;GERBONG
2994;GB459933;DIVRE 3;SIG;GERBONG
2995;GB459934;DIVRE 3;SIG;GERBONG
2996;GB459935;DIVRE 3;SIG;GERBONG
2997;GB459936;DIVRE 3;SIG;GERBONG
2998;GB459937;DIVRE 3;SIG;GERBONG
2999;GB459938;DIVRE 3;SIG;GERBONG
3000;GB459939;DIVRE 3;SIG;GERBONG
3001;GB459940;DIVRE 3;SIG;GERBONG
3002;GB459942;DIVRE 3;SIG;GERBONG
3003;GB459943;DIVRE 3;SIG;GERBONG
3004;GB459944;DIVRE 3;SIG;GERBONG
3005;GB459945;DIVRE 3;SIG;GERBONG
3006;GB530015;DIVRE 3;SIG;GERBONG
3007;GB559921;DIVRE 3;SIG;GERBONG
3008;GD4211309;DIVRE 3;SIG;GERBONG
3009;GD4211314;DIVRE 3;SIG;GERBONG
3010;GD4211315;DIVRE 3;SIG;GERBONG
3011;GD4211318;DIVRE 3;SIG;GERBONG
3012;GD4211319;DIVRE 3;SIG;GERBONG
3013;GD4211324;DIVRE 3;SIG;GERBONG
3014;GD4211327;DIVRE 3;SIG;GERBONG
3015;GD4211331;DIVRE 3;SIG;GERBONG
3016;GD4211339;DIVRE 3;SIG;GERBONG
3017;GD4211343;DIVRE 3;SIG;GERBONG
3018;GD4211345;DIVRE 3;SIG;GERBONG
3019;GD4211349;DIVRE 3;SIG;GERBONG
3020;GD4211350;DIVRE 3;SIG;GERBONG
3021;GD4211355;DIVRE 3;SIG;GERBONG
3022;GD4211368;DIVRE 3;SIG;GERBONG
3023;GD4211370;DIVRE 3;SIG;GERBONG
3024;GD4211371;DIVRE 3;SIG;GERBONG
3025;GD4211373;DIVRE 3;SIG;GERBONG
3026;GD4211377;DIVRE 3;SIG;GERBONG
3027;GD4211381;DIVRE 3;SIG;GERBONG
3028;GD4211385;DIVRE 3;SIG;GERBONG
3029;GD4211394;DIVRE 3;SIG;GERBONG
3030;GD4211395;DIVRE 3;SIG;GERBONG
3031;GD421202;DIVRE 3;SIG;GERBONG
3032;GD421205;DIVRE 3;SIG;GERBONG
3033;GD421207;DIVRE 3;SIG;GERBONG
3034;GD421213;DIVRE 3;SIG;GERBONG
3035;GD421214;DIVRE 3;SIG;GERBONG
3036;GD421216;DIVRE 3;SIG;GERBONG
3037;GD421217;DIVRE 3;SIG;GERBONG
3038;GD421218;DIVRE 3;SIG;GERBONG
3039;GD421221;DIVRE 3;SIG;GERBONG
3040;GD421224;DIVRE 3;SIG;GERBONG
3041;GD421225;DIVRE 3;SIG;GERBONG
3042;GD421227;DIVRE 3;SIG;GERBONG
3043;GD421229;DIVRE 3;SIG;GERBONG
3044;GD421231;DIVRE 3;SIG;GERBONG
3045;GD421236;DIVRE 3;SIG;GERBONG
3046;GD421237;DIVRE 3;SIG;GERBONG
3047;GD421238;DIVRE 3;SIG;GERBONG
3048;GD421244;DIVRE 3;SIG;GERBONG
3049;GD421246;DIVRE 3;SIG;GERBONG
3050;GD421250;DIVRE 3;SIG;GERBONG
3051;GD421256;DIVRE 3;SIG;GERBONG
3052;GD421258;DIVRE 3;SIG;GERBONG
3053;GD421267;DIVRE 3;SIG;GERBONG
3054;GD421274;DIVRE 3;SIG;GERBONG
3055;GD421276;DIVRE 3;SIG;GERBONG
3056;GD421278;DIVRE 3;SIG;GERBONG
3057;GD421281;DIVRE 3;SIG;GERBONG
3058;GD508401;DIVRE 3;SIG;GERBONG
3059;GD508402;DIVRE 3;SIG;GERBONG
3060;GD508403;DIVRE 3;SIG;GERBONG
3061;GD508404;DIVRE 3;SIG;GERBONG
3062;GD508405;DIVRE 3;SIG;GERBONG
3063;GD508406;DIVRE 3;SIG;GERBONG
3064;GD508407;DIVRE 3;SIG;GERBONG
3065;GD508408;DIVRE 3;SIG;GERBONG
3066;GD508409;DIVRE 3;SIG;GERBONG
3067;GD508410;DIVRE 3;SIG;GERBONG
3068;GD508411;DIVRE 3;SIG;GERBONG
3069;GD508412;DIVRE 3;SIG;GERBONG
3070;GD508413;DIVRE 3;SIG;GERBONG
3071;GD508414;DIVRE 3;SIG;GERBONG
3072;GD508415;DIVRE 3;SIG;GERBONG
3073;GD508416;DIVRE 3;SIG;GERBONG
3074;GD508417;DIVRE 3;SIG;GERBONG
3075;GD508418;DIVRE 3;SIG;GERBONG
3076;GD508420;DIVRE 3;SIG;GERBONG
3077;GD508421;DIVRE 3;SIG;GERBONG
3078;GD508422;DIVRE 3;SIG;GERBONG
3079;GD508423;DIVRE 3;SIG;GERBONG
3080;GD508426;DIVRE 3;SIG;GERBONG
3081;GD508427;DIVRE 3;SIG;GERBONG
3082;GD508428;DIVRE 3;SIG;GERBONG
3083;GD508430;DIVRE 3;SIG;GERBONG
3084;GD508431;DIVRE 3;SIG;GERBONG
3085;GD508432;DIVRE 3;SIG;GERBONG
