,NOMOR_IDENTITAS,DAOP,DEPO,JENIS,TAHUN,TAHUN_2,UMUR,RANGE_USIA
121,GD421115,DAOP 1,RK,GERBONG,11,2011,10,<=10 th
122,GD4211150,DAOP 1,JAKG,GERBONG,11,2011,10,<=10 th
123,GD4211151,DAOP 8,SDT,GERBONG,11,2011,10,<=10 th
124,GD4211152,DAOP 1,JAKG,GERBONG,11,2011,10,<=10 th
125,GD4211153,DIVRE 3,SIG,GERBONG,11,2011,10,<=10 th
126,GD4211154,DIVRE 3,SIG,GERBONG,11,2011,10,<=10 th
127,GD4211155,DAOP 8,SDT,GERBONG,11,2011,10,<=10 th
128,GD4211156,DAOP 8,SDT,GERBONG,11,2011,10,<=10 th
129,GD4211157,DAOP 1,JAKG,GERBONG,11,2011,10,<=10 th
130,GD4211158,DAOP 1,JAKG,GERBONG,11,2011,10,<=10 th
131,GD4211159,DAOP 8,SDT,GERBONG,11,2011,10,<=10 th
132,GD421116,DAOP 1,RK,GERBONG,11,2011,10,<=10 th
133,GD4211160,DAOP 8,SDT,GERBONG,11,2011,10,<=10 th
134,GD4211161,DAOP 8,SDT,GERBONG,11,2011,10,<=10 th
135,GD4211162,DIVRE 3,SIG,GERBONG,11,2011,10,<=10 th
136,GD4211163,DAOP 8,SDT,GERBONG,11,2011,10,<=10 th
137,GD4211164,DAOP 8,SDT,GERBONG,11,2011,10,<=10 th
138,GD4211165,DAOP 8,SDT,GERBONG,11,2011,10,<=10 th
139,GD4211166,DIVRE 3,SIG,GERBONG,11,2011,10,<=10 th
140,GD4211167,DAOP 8,SDT,GERBONG,11,2011,10,<=10 th
141,GD4211168,DAOP 8,SDT,GERBONG,11,2011,10,<=10 th
142,GD4211169,DAOP 8,SDT,GERBONG,11,2011,10,<=10 th
143,GD421117,DAOP 1,RK,GERBONG,11,2011,10,<=10 th
144,GD4211170,DIVRE 3,SIG,GERBONG,11,2011,10,<=10 th
145,GD4211171,DAOP 8,SDT,GERBONG,11,2011,10,<=10 th
146,GD4211172,DAOP 1,JAKG,GERBONG,11,2011,10,<=10 th
147,GD4211173,DAOP 1,JAKG,GERBONG,11,2011,10,<=10 th
148,GD4211174,DAOP 1,JAKG,GERBONG,11,2011,10,<=10 th
149,GD4211175,DAOP 1,JAKG,GERBONG,11,2011,10,<=10 th
150,GD4211176,DAOP 1,JAKG,GERBONG,11,2011,10,<=10 th
151,GD4211177,DAOP 8,SDT,GERBONG,11,2011,10,<=10 th
152,GD4211178,DIVRE 3,SIG,GERBONG,11,2011,10,<=10 th
153,GD4211179,DAOP 1,JAKG,GERBONG,11,2011,10,<=10 th
154,GD421118,DAOP 1,RK,GERBONG,11,2011,10,<=10 th
155,GD4211180,DAOP 8,SDT,GERBONG,11,2011,10,<=10 th
156,GD4211181,DIVRE 3,SIG,GERBONG,11,2011,10,<=10 th
157,GD4211182,DAOP 8,SDT,GERBONG,11,2011,10,<=10 th
158,GD4211183,DAOP 8,SDT,GERBONG,11,2011,10,<=10 th
159,GD4211184,DIVRE 3,SIG,GERBONG,11,2011,10,<=10 th
160,GD4211185,DAOP 1,JAKG,GERBONG,11,2011,10,<=10 th
161,GD4211186,DAOP 1,JAKG,GERBONG,11,2011,10,<=10 th
162,GD4211187,DAOP 8,SDT,GERBONG,11,2011,10,<=10 th
163,GD4211188,DIVRE 3,SIG,GERBONG,11,2011,10,<=10 th
164,GD4211189,DIVRE 3,SIG,GERBONG,11,2011,10,<=10 th
165,GD421119,DAOP 1,RK,GERBONG,11,2011,10,<=10 th
166,GD4211190,DAOP 8,SDT,GERBONG,11,2011,10,<=10 th
167,GD4211191,DAOP 1,JAKG,GERBONG,11,2011,10,<=10 th
168,GD4211192,DAOP 8,SDT,GERBONG,11,2011,10,<=10 th
169,GD4211193,DAOP 8,SDT,GERBONG,11,2011,10,<=10 th
170,GD4211194,DAOP 8,SDT,GERBONG,11,2011,10,<=10 th
171,GD4211195,DAOP 1,JAKG,GERBONG,11,2011,10,<=10 th
172,GD4211196,DAOP 1,JAKG,GERBONG,11,2011,10,<=10 th
173,GD4211197,DAOP 1,JAKG,GERBONG,11,2011,10,<=10 th
174,GD4211198,DAOP 8,SDT,GERBONG,11,2011,10,<=10 th
175,GD4211199,DAOP 1,JAKG,GERBONG,11,2011,10,<=10 th
176,GD421120,DAOP 1,RK,GERBONG,11,2011,10,<=10 th
177,GD4211200,DAOP 1,JAKG,GERBONG,11,2011,10,<=10 th
178,GD4211201,DIVRE 3,SIG,GERBONG,11,2011,10,<=10 th
179,GD4211202,DAOP 8,SDT,GERBONG,11,2011,10,<=10 th
180,GD4211203,DAOP 1,JAKG,GERBONG,11,2011,10,<=10 th
181,GD4211204,DAOP 8,SDT,GERBONG,11,2011,10,<=10 th
182,GD4211205,DAOP 8,SDT,GERBONG,11,2011,10,<=10 th
183,GD4211206,DIVRE 3,SIG,GERBONG,11,2011,10,<=10 th
184,GD4211207,DIVRE 3,SIG,GERBONG,11,2011,10,<=10 th
185,GD4211208,DIVRE 3,SIG,GERBONG,11,2011,10,<=10 th
186,GD4211209,DAOP 1,JAKG,GERBONG,11,2011,10,<=10 th
187,GD421121,DAOP 1,RK,GERBONG,11,2011,10,<=10 th
188,GD4211210,DAOP 1,JAKG,GERBONG,11,2011,10,<=10 th
189,GD4211211,DAOP 1,JAKG,GERBONG,11,2011,10,<=10 th
190,GD4211212,DAOP 1,JAKG,GERBONG,11,2011,10,<=10 th
191,GD4211213,DAOP 1,JAKG,GERBONG,11,2011,10,<=10 th
192,GD4211214,DAOP 1,JAKG,GERBONG,11,2011,10,<=10 th
193,GD4211215,DAOP 1,JAKG,GERBONG,11,2011,10,<=10 th
194,GD4211216,DIVRE 3,SIG,GERBONG,11,2011,10,<=10 th
195,GD4211217,DAOP 1,JAKG,GERBONG,11,2011,10,<=10 th
196,GD4211218,DAOP 1,JAKG,GERBONG,11,2011,10,<=10 th
197,GD4211219,DAOP 8,SDT,GERBONG,11,2011,10,<=10 th
