,NOMOR_IDENTITAS,DAOP,DEPO,JENIS,tgl_masa_uji,STATUS_UJI
75,GD4211108,DAOP 1,RK,GERBONG,2020-08-03,Kadaluarsa
76,GD4211109,DAOP 8,SDT,GERBONG,2020-07-06,Kadaluarsa
77,GD421111,DAOP 1,RK,GERBONG,2020-08-03,Kadaluarsa
78,GD4211110,DAOP 8,SDT,GERBONG,2020-04-18,Kadaluarsa
79,GD4211111,DAOP 8,SDT,GERBONG,2020-09-21,Kadaluarsa
80,GD4211112,DAOP 8,SDT,GERBONG,2020-04-18,Kadaluarsa
81,GD4211113,DAOP 8,SDT,GERBONG,2020-04-18,Kadaluarsa
82,GD4211114,DAOP 8,SDT,GERBONG,2019-11-17,Kadaluarsa
83,GD4211115,DAOP 8,SDT,GERBONG,2020-07-06,Kadaluarsa
84,GD4211116,DIVRE 3,SIG,GERBONG,2020-07-13,Kadaluarsa
85,GD4211117,DAOP 1,JAKG,GERBONG,2020-08-31,Kadaluarsa
86,GD4211118,DAOP 8,SDT,GERBONG,2020-04-18,Kadaluarsa
87,GD4211119,DAOP 8,SDT,GERBONG,2020-10-26,Kadaluarsa
88,GD421112,DAOP 1,RK,GERBONG,2020-07-06,Kadaluarsa
89,GD4211120,DAOP 1,JAKG,GERBONG,2020-10-26,Kadaluarsa
90,GD4211121,DAOP 1,JAKG,GERBONG,2020-10-26,Kadaluarsa
91,GD4211122,DIVRE 3,SIG,GERBONG,2020-07-06,Kadaluarsa
92,GD4211123,DIVRE 3,SIG,GERBONG,2020-07-06,Kadaluarsa
93,GD4211124,DAOP 8,SDT,GERBONG,2020-10-26,Kadaluarsa
94,GD4211125,DAOP 8,SDT,GERBONG,2020-08-31,Kadaluarsa
95,GD4211126,DAOP 8,SDT,GERBONG,2020-10-26,Kadaluarsa
96,GD4211127,DIVRE 3,SIG,GERBONG,2020-07-13,Kadaluarsa
97,GD4211128,DIVRE 3,SIG,GERBONG,2020-07-06,Kadaluarsa
98,GD4211129,DAOP 8,SDT,GERBONG,2020-04-18,Kadaluarsa
99,GD421113,DAOP 1,RK,GERBONG,2020-10-26,Kadaluarsa
100,GD4211130,DAOP 8,SDT,GERBONG,2020-10-26,Kadaluarsa
101,GD4211131,DAOP 8,SDT,GERBONG,2022-01-15,Masih Berlaku
102,GD4211132,DAOP 8,SDT,GERBONG,2022-01-15,Masih Berlaku
103,GD4211133,DAOP 8,SDT,GERBONG,2020-08-31,Kadaluarsa
104,GD4211134,DAOP 1,JAKG,GERBONG,2022-01-22,Masih Berlaku
105,GD4211135,DAOP 1,JAKG,GERBONG,2020-07-06,Kadaluarsa
106,GD4211136,DIVRE 3,SIG,GERBONG,2020-07-06,Kadaluarsa
107,GD4211137,DAOP 8,SDT,GERBONG,2020-04-18,Kadaluarsa
108,GD4211138,DIVRE 3,SIG,GERBONG,2020-04-18,Kadaluarsa
109,GD4211139,DAOP 8,SDT,GERBONG,2022-01-22,Masih Berlaku
110,GD421114,DAOP 1,RK,GERBONG,2020-09-21,Kadaluarsa
111,GD4211140,DAOP 1,JAKG,GERBONG,2020-07-06,Kadaluarsa
112,GD4211141,DAOP 8,SDT,GERBONG,2020-04-18,Kadaluarsa
113,GD4211142,DIVRE 3,SIG,GERBONG,2020-04-18,Kadaluarsa
114,GD4211143,DAOP 8,SDT,GERBONG,2022-01-15,Masih Berlaku
115,GD4211144,DAOP 1,JAKG,GERBONG,2020-04-18,Kadaluarsa
116,GD4211145,DAOP 8,SDT,GERBONG,2020-10-26,Kadaluarsa
117,GD4211146,DAOP 1,JAKG,GERBONG,2022-01-29,Masih Berlaku
118,GD4211147,DIVRE 3,SIG,GERBONG,2022-04-30,Masih Berlaku
119,GD4211148,DAOP 8,SDT,GERBONG,2022-01-15,Masih Berlaku
120,GD4211149,DAOP 1,JAKG,GERBONG,2022-01-15,Masih Berlaku
121,GD421115,DAOP 1,RK,GERBONG,2020-07-06,Kadaluarsa
122,GD4211150,DAOP 1,JAKG,GERBONG,2020-07-06,Kadaluarsa
123,GD4211151,DAOP 8,SDT,GERBONG,2022-01-15,Masih Berlaku
124,GD4211152,DAOP 1,JAKG,GERBONG,2022-01-22,Masih Berlaku
125,GD4211153,DIVRE 3,SIG,GERBONG,2020-09-21,Kadaluarsa
126,GD4211154,DIVRE 3,SIG,GERBONG,2020-10-26,Kadaluarsa
127,GD4211155,DAOP 8,SDT,GERBONG,2022-01-22,Masih Berlaku
128,GD4211156,DAOP 8,SDT,GERBONG,2021-08-29,Kadaluarsa
129,GD4211157,DAOP 1,JAKG,GERBONG,2020-10-26,Kadaluarsa
130,GD4211158,DAOP 1,JAKG,GERBONG,2020-10-26,Kadaluarsa
131,GD4211159,DAOP 8,SDT,GERBONG,2022-01-15,Masih Berlaku
132,GD421116,DAOP 1,RK,GERBONG,2020-08-03,Kadaluarsa
133,GD4211160,DAOP 8,SDT,GERBONG,2020-07-06,Kadaluarsa
134,GD4211161,DAOP 8,SDT,GERBONG,2020-08-03,Kadaluarsa
135,GD4211162,DIVRE 3,SIG,GERBONG,2020-08-31,Kadaluarsa
136,GD4211163,DAOP 8,SDT,GERBONG,2020-10-26,Kadaluarsa
137,GD4211164,DAOP 8,SDT,GERBONG,2022-01-22,Masih Berlaku
138,GD4211165,DAOP 8,SDT,GERBONG,2020-11-28,Kadaluarsa
139,GD4211166,DIVRE 3,SIG,GERBONG,2020-10-26,Kadaluarsa
140,GD4211167,DAOP 8,SDT,GERBONG,2020-07-06,Kadaluarsa
141,GD4211168,DAOP 8,SDT,GERBONG,2020-10-26,Kadaluarsa
142,GD4211169,DAOP 8,SDT,GERBONG,2020-08-03,Kadaluarsa
143,GD421117,DAOP 1,RK,GERBONG,2022-01-28,Masih Berlaku
144,GD4211170,DIVRE 3,SIG,GERBONG,2020-04-18,Kadaluarsa
145,GD4211171,DAOP 8,SDT,GERBONG,2022-01-15,Masih Berlaku
146,GD4211172,DAOP 1,JAKG,GERBONG,2020-04-18,Kadaluarsa
147,GD4211173,DAOP 1,JAKG,GERBONG,2020-10-26,Kadaluarsa
148,GD4211174,DAOP 1,JAKG,GERBONG,2020-07-13,Kadaluarsa
149,GD4211175,DAOP 1,JAKG,GERBONG,2022-01-15,Masih Berlaku
150,GD4211176,DAOP 1,JAKG,GERBONG,2020-04-18,Kadaluarsa
151,GD4211177,DAOP 8,SDT,GERBONG,2020-10-26,Kadaluarsa
152,GD4211178,DIVRE 3,SIG,GERBONG,2020-07-06,Kadaluarsa
153,GD4211179,DAOP 1,JAKG,GERBONG,2022-01-15,Masih Berlaku
154,GD421118,DAOP 1,RK,GERBONG,2020-07-06,Kadaluarsa
155,GD4211180,DAOP 8,SDT,GERBONG,2020-04-18,Kadaluarsa
