;NOMOR_IDENTITAS;DAOP;DEPO;JENIS;TAHUN;DAOP2;DAOP3;NAMA_DAOP;NAMA_DAOP2;NAMA_DEPO
1032;GD4214189;DAOP 3;AWN;GERBONG;14;DAOP;3;DAOP 3;DAOP 3;DEPO GERBONG AWN
1033;GD4214190;DAOP 3;AWN;GERBONG;14;DAOP;3;DAOP 3;DAOP 3;DEPO GERBONG AWN
1034;GD4214191;DAOP 3;AWN;GERBONG;14;DAOP;3;DAOP 3;DAOP 3;DEPO GERBONG AWN
1035;GD4214192;DAOP 3;AWN;GERBONG;14;DAOP;3;DAOP 3;DAOP 3;DEPO GERBONG AWN
1036;GD4214193;DAOP 3;AWN;GERBONG;14;DAOP;3;DAOP 3;DAOP 3;DEPO GERBONG AWN
1037;GD4214194;DAOP 3;AWN;GERBONG;14;DAOP;3;DAOP 3;DAOP 3;DEPO GERBONG AWN
1038;GD4214195;DAOP 3;AWN;GERBONG;14;DAOP;3;DAOP 3;DAOP 3;DEPO GERBONG AWN
1039;GD4214196;DAOP 3;AWN;GERBONG;14;DAOP;3;DAOP 3;DAOP 3;DEPO GERBONG AWN
1040;GD4214197;DAOP 3;AWN;GERBONG;14;DAOP;3;DAOP 3;DAOP 3;DEPO GERBONG AWN
1041;GD4214198;DAOP 3;AWN;GERBONG;14;DAOP;3;DAOP 3;DAOP 3;DEPO GERBONG AWN
1042;GD4214199;DAOP 3;AWN;GERBONG;14;DAOP;3;DAOP 3;DAOP 3;DEPO GERBONG AWN
1043;GD4214200;DAOP 3;AWN;GERBONG;14;DAOP;3;DAOP 3;DAOP 3;DEPO GERBONG AWN
1044;GD4214201;DAOP 3;AWN;GERBONG;14;DAOP;3;DAOP 3;DAOP 3;DEPO GERBONG AWN
1045;GD4214202;DAOP 3;AWN;GERBONG;14;DAOP;3;DAOP 3;DAOP 3;DEPO GERBONG AWN
1046;GD4214203;DAOP 3;AWN;GERBONG;14;DAOP;3;DAOP 3;DAOP 3;DEPO GERBONG AWN
1047;GD4214204;DAOP 3;AWN;GERBONG;14;DAOP;3;DAOP 3;DAOP 3;DEPO GERBONG AWN
1048;GD4214205;DAOP 3;AWN;GERBONG;14;DAOP;3;DAOP 3;DAOP 3;DEPO GERBONG AWN
1049;GD4214206;DAOP 3;AWN;GERBONG;14;DAOP;3;DAOP 3;DAOP 3;DEPO GERBONG AWN
1050;GD4214207;DAOP 3;AWN;GERBONG;14;DAOP;3;DAOP 3;DAOP 3;DEPO GERBONG AWN
1051;GD4214208;DAOP 3;AWN;GERBONG;14;DAOP;3;DAOP 3;DAOP 3;DEPO GERBONG AWN
1052;GD4214209;DAOP 3;AWN;GERBONG;14;DAOP;3;DAOP 3;DAOP 3;DEPO GERBONG AWN
1053;GD4214210;DAOP 3;AWN;GERBONG;14;DAOP;3;DAOP 3;DAOP 3;DEPO GERBONG AWN
1054;GD4214211;DAOP 3;AWN;GERBONG;14;DAOP;3;DAOP 3;DAOP 3;DEPO GERBONG AWN
1055;GD4214212;DAOP 3;AWN;GERBONG;14;DAOP;3;DAOP 3;DAOP 3;DEPO GERBONG AWN
1056;GD4214213;DAOP 3;AWN;GERBONG;14;DAOP;3;DAOP 3;DAOP 3;DEPO GERBONG AWN
1057;GD4214214;DAOP 3;AWN;GERBONG;14;DAOP;3;DAOP 3;DAOP 3;DEPO GERBONG AWN
1058;GD4214215;DAOP 3;AWN;GERBONG;14;DAOP;3;DAOP 3;DAOP 3;DEPO GERBONG AWN
1059;GD4214216;DAOP 3;AWN;GERBONG;14;DAOP;3;DAOP 3;DAOP 3;DEPO GERBONG AWN
1060;GD4214217;DAOP 3;AWN;GERBONG;14;DAOP;3;DAOP 3;DAOP 3;DEPO GERBONG AWN
1061;GD4214218;DAOP 3;AWN;GERBONG;14;DAOP;3;DAOP 3;DAOP 3;DEPO GERBONG AWN
1062;GD4214219;DAOP 3;AWN;GERBONG;14;DAOP;3;DAOP 3;DAOP 3;DEPO GERBONG AWN
1063;GD4214220;DAOP 3;AWN;GERBONG;14;DAOP;3;DAOP 3;DAOP 3;DEPO GERBONG AWN
1064;GD4214245;DAOP 3;AWN;GERBONG;14;DAOP;3;DAOP 3;DAOP 3;DEPO GERBONG AWN
1065;GD4214246;DAOP 3;AWN;GERBONG;14;DAOP;3;DAOP 3;DAOP 3;DEPO GERBONG AWN
1066;GD4214247;DAOP 3;AWN;GERBONG;14;DAOP;3;DAOP 3;DAOP 3;DEPO GERBONG AWN
1067;GD4214248;DAOP 3;AWN;GERBONG;14;DAOP;3;DAOP 3;DAOP 3;DEPO GERBONG AWN
1068;GD4214249;DAOP 3;AWN;GERBONG;14;DAOP;3;DAOP 3;DAOP 3;DEPO GERBONG AWN
1069;GD4214250;DAOP 3;AWN;GERBONG;14;DAOP;3;DAOP 3;DAOP 3;DEPO GERBONG AWN
1070;GD4214251;DAOP 3;AWN;GERBONG;14;DAOP;3;DAOP 3;DAOP 3;DEPO GERBONG AWN
1071;GD4214252;DAOP 3;AWN;GERBONG;14;DAOP;3;DAOP 3;DAOP 3;DEPO GERBONG AWN
1072;GD4214253;DAOP 3;AWN;GERBONG;14;DAOP;3;DAOP 3;DAOP 3;DEPO GERBONG AWN
1073;GD4214254;DAOP 3;AWN;GERBONG;14;DAOP;3;DAOP 3;DAOP 3;DEPO GERBONG AWN
1074;GD4214255;DAOP 3;AWN;GERBONG;14;DAOP;3;DAOP 3;DAOP 3;DEPO GERBONG AWN
1075;GD4214256;DAOP 3;AWN;GERBONG;14;DAOP;3;DAOP 3;DAOP 3;DEPO GERBONG AWN
1076;GD4214257;DAOP 3;AWN;GERBONG;14;DAOP;3;DAOP 3;DAOP 3;DEPO GERBONG AWN
1077;GD4214258;DAOP 3;AWN;GERBONG;14;DAOP;3;DAOP 3;DAOP 3;DEPO GERBONG AWN
1078;GD4214259;DAOP 3;AWN;GERBONG;14;DAOP;3;DAOP 3;DAOP 3;DEPO GERBONG AWN
1079;GD4214260;DAOP 3;AWN;GERBONG;14;DAOP;3;DAOP 3;DAOP 3;DEPO GERBONG AWN
1080;GD4214261;DAOP 3;AWN;GERBONG;14;DAOP;3;DAOP 3;DAOP 3;DEPO GERBONG AWN
1081;GD4214262;DAOP 3;AWN;GERBONG;14;DAOP;3;DAOP 3;DAOP 3;DEPO GERBONG AWN
1082;GD4214263;DAOP 3;AWN;GERBONG;14;DAOP;3;DAOP 3;DAOP 3;DEPO GERBONG AWN
1083;GD4214264;DAOP 3;AWN;GERBONG;14;DAOP;3;DAOP 3;DAOP 3;DEPO GERBONG AWN
1084;GD4214301;DAOP 3;AWN;GERBONG;14;DAOP;3;DAOP 3;DAOP 3;DEPO GERBONG AWN
1085;GD4214302;DAOP 3;AWN;GERBONG;14;DAOP;3;DAOP 3;DAOP 3;DEPO GERBONG AWN
1086;GD4214303;DAOP 3;AWN;GERBONG;14;DAOP;3;DAOP 3;DAOP 3;DEPO GERBONG AWN
1087;GD4214304;DAOP 3;AWN;GERBONG;14;DAOP;3;DAOP 3;DAOP 3;DEPO GERBONG AWN
1088;GD4214305;DAOP 3;AWN;GERBONG;14;DAOP;3;DAOP 3;DAOP 3;DEPO GERBONG AWN
1089;GD4214306;DAOP 3;AWN;GERBONG;14;DAOP;3;DAOP 3;DAOP 3;DEPO GERBONG AWN
1090;GD4214307;DAOP 3;AWN;GERBONG;14;DAOP;3;DAOP 3;DAOP 3;DEPO GERBONG AWN
1091;GD4214308;DAOP 3;AWN;GERBONG;14;DAOP;3;DAOP 3;DAOP 3;DEPO GERBONG AWN
1092;GD4214309;DAOP 3;AWN;GERBONG;14;DAOP;3;DAOP 3;DAOP 3;DEPO GERBONG AWN
1093;GD4214310;DAOP 3;AWN;GERBONG;14;DAOP;3;DAOP 3;DAOP 3;DEPO GERBONG AWN
1094;GD4214311;DAOP 3;AWN;GERBONG;14;DAOP;3;DAOP 3;DAOP 3;DEPO GERBONG AWN
1095;GD4214312;DAOP 3;AWN;GERBONG;14;DAOP;3;DAOP 3;DAOP 3;DEPO GERBONG AWN
1096;GD4214313;DAOP 3;AWN;GERBONG;14;DAOP;3;DAOP 3;DAOP 3;DEPO GERBONG AWN
1097;GD4214314;DAOP 3;AWN;GERBONG;14;DAOP;3;DAOP 3;DAOP 3;DEPO GERBONG AWN
1098;GD4214315;DAOP 3;AWN;GERBONG;14;DAOP;3;DAOP 3;DAOP 3;DEPO GERBONG AWN
1099;GD4214316;DAOP 3;AWN;GERBONG;14;DAOP;3;DAOP 3;DAOP 3;DEPO GERBONG AWN
1100;GD4214317;DAOP 3;AWN;GERBONG;14;DAOP;3;DAOP 3;DAOP 3;DEPO GERBONG AWN
1101;GD4214318;DAOP 3;AWN;GERBONG;14;DAOP;3;DAOP 3;DAOP 3;DEPO GERBONG AWN
1102;GD4214319;DAOP 3;AWN;GERBONG;14;DAOP;3;DAOP 3;DAOP 3;DEPO GERBONG AWN
1103;GD4214320;DAOP 3;AWN;GERBONG;14;DAOP;3;DAOP 3;DAOP 3;DEPO GERBONG AWN
1104;GD409221;DAOP 4;SMC;GERBONG;92;DAOP;4;DAOP 4;DAOP 4;DEPO KERETA SMC
1105;GD409222;DAOP 4;SMC;GERBONG;92;DAOP;4;DAOP 4;DAOP 4;DEPO KERETA SMC
1106;GD409228;DAOP 4;SMC;GERBONG;92;DAOP;4;DAOP 4;DAOP 4;DEPO KERETA SMC
1107;GD409231;DAOP 4;SMC;GERBONG;92;DAOP;4;DAOP 4;DAOP 4;DEPO KERETA SMC
1108;GD409501;DAOP 4;SMC;GERBONG;95;DAOP;4;DAOP 4;DAOP 4;DEPO KERETA SMC
1109;GD409503;DAOP 4;SMC;GERBONG;95;DAOP;4;DAOP 4;DAOP 4;DEPO KERETA SMC
1110;GD409509;DAOP 4;SMC;GERBONG;95;DAOP;4;DAOP 4;DAOP 4;DEPO KERETA SMC
1111;GD409518;DAOP 4;SMC;GERBONG;95;DAOP;4;DAOP 4;DAOP 4;DEPO KERETA SMC
1112;GD409521;DAOP 4;SMC;GERBONG;95;DAOP;4;DAOP 4;DAOP 4;DEPO KERETA SMC
1113;GD409701;DAOP 4;SMC;GERBONG;97;DAOP;4;DAOP 4;DAOP 4;DEPO KERETA SMC
1114;GD409706;DAOP 4;SMC;GERBONG;97;DAOP;4;DAOP 4;DAOP 4;DEPO KERETA SMC
1115;GD409707;DAOP 4;SMC;GERBONG;97;DAOP;4;DAOP 4;DAOP 4;DEPO KERETA SMC
1116;GD409711;DAOP 4;SMC;GERBONG;97;DAOP;4;DAOP 4;DAOP 4;DEPO KERETA SMC
1117;GD409712;DAOP 4;SMC;GERBONG;97;DAOP;4;DAOP 4;DAOP 4;DEPO KERETA SMC
1118;GD409713;DAOP 4;SMC;GERBONG;97;DAOP;4;DAOP 4;DAOP 4;DEPO KERETA SMC
1119;GD409714;DAOP 4;SMC;GERBONG;97;DAOP;4;DAOP 4;DAOP 4;DEPO KERETA SMC
1120;GD409716;DAOP 4;SMC;GERBONG;97;DAOP;4;DAOP 4;DAOP 4;DEPO KERETA SMC
1121;GD409719;DAOP 4;SMC;GERBONG;97;DAOP;4;DAOP 4;DAOP 4;DEPO KERETA SMC
1122;GD409723;DAOP 4;SMC;GERBONG;97;DAOP;4;DAOP 4;DAOP 4;DEPO KERETA SMC
1123;GD409731;DAOP 4;SMC;GERBONG;97;DAOP;4;DAOP 4;DAOP 4;DEPO KERETA SMC
1124;GD409517;DAOP 4 ;SMC;GERBONG;95;DAOP;4;DAOP 4;DAOP 4;DEPO KERETA SMC
1125;GB308466;DAOP 5;MA;GERBONG;84;DAOP;5;DAOP 5;DAOP 5;DEPO GERBONG MA
1126;GB308467;DAOP 5;MA;GERBONG;84;DAOP;5;DAOP 5;DAOP 5;DEPO GERBONG MA
1127;GB308468;DAOP 5;MA;GERBONG;84;DAOP;5;DAOP 5;DAOP 5;DEPO GERBONG MA
1128;GB308469;DAOP 2;GDB;GERBONG;84;DAOP;2;DAOP 2;DAOP 2;DEPO KERETA BD
1129;GB308470;DAOP 5;MA;GERBONG;84;DAOP;5;DAOP 5;DAOP 5;DEPO GERBONG MA
1130;GB308471;DAOP 5;MA;GERBONG;84;DAOP;5;DAOP 5;DAOP 5;DEPO GERBONG MA
1131;GB308472;DAOP 5;MA;GERBONG;84;DAOP;5;DAOP 5;DAOP 5;DEPO GERBONG MA
1132;GB308473;DAOP 5;MA;GERBONG;84;DAOP;5;DAOP 5;DAOP 5;DEPO GERBONG MA
1133;GB308474;DAOP 5;MA;GERBONG;84;DAOP;5;DAOP 5;DAOP 5;DEPO GERBONG MA
1134;GB308475;DAOP 5;MA;GERBONG;84;DAOP;5;DAOP 5;DAOP 5;DEPO GERBONG MA
1135;GD409201;DAOP 5;MA;GERBONG;92;DAOP;5;DAOP 5;DAOP 5;DEPO GERBONG MA
1136;GD409212;DAOP 5;MA;GERBONG;92;DAOP;5;DAOP 5;DAOP 5;DEPO GERBONG MA
1137;GD409224;DAOP 5;MA;GERBONG;92;DAOP;5;DAOP 5;DAOP 5;DEPO GERBONG MA
1138;GD409527;DAOP 5;MA;GERBONG;95;DAOP;5;DAOP 5;DAOP 5;DEPO GERBONG MA
1139;GD409710;DAOP 5;MA;GERBONG;97;DAOP;5;DAOP 5;DAOP 5;DEPO GERBONG MA
1140;GD4213212;DAOP 1;JAKG;GERBONG;13;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
1141;GD4213215;DAOP 1;JAKG;GERBONG;13;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
1142;GD4213216;DAOP 1;JAKG;GERBONG;13;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
1143;GD4213220;DAOP 5;MA;GERBONG;13;DAOP;5;DAOP 5;DAOP 5;DEPO GERBONG MA
1144;GD4213226;DAOP 5;MA;GERBONG;13;DAOP;5;DAOP 5;DAOP 5;DEPO GERBONG MA
1145;GD4213227;DAOP 1;JAKG;GERBONG;13;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
1146;GD4213228;DAOP 5;MA;GERBONG;13;DAOP;5;DAOP 5;DAOP 5;DEPO GERBONG MA
1147;GD4213229;DAOP 1;JAKG;GERBONG;13;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
1148;GD4213230;DAOP 5;MA;GERBONG;13;DAOP;5;DAOP 5;DAOP 5;DEPO GERBONG MA
1149;GD4213231;DAOP 5;MA;GERBONG;13;DAOP;5;DAOP 5;DAOP 5;DEPO GERBONG MA
1150;GD4213232;DAOP 1;JAKG;GERBONG;13;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
1151;GD4213233;DAOP 1;JAKG;GERBONG;13;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
1152;GD4213234;DAOP 5;MA;GERBONG;13;DAOP;5;DAOP 5;DAOP 5;DEPO GERBONG MA
1153;GD4213235;DAOP 5;MA;GERBONG;13;DAOP;5;DAOP 5;DAOP 5;DEPO GERBONG MA
1154;GD4213237;DAOP 5;MA;GERBONG;13;DAOP;5;DAOP 5;DAOP 5;DEPO GERBONG MA
1155;GD4213238;DAOP 5;MA;GERBONG;13;DAOP;5;DAOP 5;DAOP 5;DEPO GERBONG MA
1156;GD4213239;DAOP 5;MA;GERBONG;13;DAOP;5;DAOP 5;DAOP 5;DEPO GERBONG MA
1157;GD4213240;DAOP 5;MA;GERBONG;13;DAOP;5;DAOP 5;DAOP 5;DEPO GERBONG MA
1158;GD4213241;DAOP 5;MA;GERBONG;13;DAOP;5;DAOP 5;DAOP 5;DEPO GERBONG MA
1159;GD4213246;DAOP 1;JAKG;GERBONG;13;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
1160;GD4213247;DAOP 5;MA;GERBONG;13;DAOP;5;DAOP 5;DAOP 5;DEPO GERBONG MA
1161;GD4213248;DAOP 5;MA;GERBONG;13;DAOP;5;DAOP 5;DAOP 5;DEPO GERBONG MA
1162;GD4213249;DAOP 5;MA;GERBONG;13;DAOP;5;DAOP 5;DAOP 5;DEPO GERBONG MA
1163;GD4213250;DAOP 5;MA;GERBONG;13;DAOP;5;DAOP 5;DAOP 5;DEPO GERBONG MA
1164;GD4213251;DAOP 5;MA;GERBONG;13;DAOP;5;DAOP 5;DAOP 5;DEPO GERBONG MA
1165;GD4213252;DAOP 5;MA;GERBONG;13;DAOP;5;DAOP 5;DAOP 5;DEPO GERBONG MA
1166;GD4213253;DAOP 5;MA;GERBONG;13;DAOP;5;DAOP 5;DAOP 5;DEPO GERBONG MA
1167;GD4213254;DAOP 5;MA;GERBONG;13;DAOP;5;DAOP 5;DAOP 5;DEPO GERBONG MA
1168;GD4213258;DAOP 5;MA;GERBONG;13;DAOP;5;DAOP 5;DAOP 5;DEPO GERBONG MA
1169;GD4213260;DAOP 5;MA;GERBONG;13;DAOP;5;DAOP 5;DAOP 5;DEPO GERBONG MA
1170;GD4213266;DAOP 5;MA;GERBONG;13;DAOP;5;DAOP 5;DAOP 5;DEPO GERBONG MA
1171;GD4213267;DAOP 5;MA;GERBONG;13;DAOP;5;DAOP 5;DAOP 5;DEPO GERBONG MA
1172;GD4213269;DAOP 5;MA;GERBONG;13;DAOP;5;DAOP 5;DAOP 5;DEPO GERBONG MA
1173;GD4213270;DAOP 5;MA;GERBONG;13;DAOP;5;DAOP 5;DAOP 5;DEPO GERBONG MA
1174;GD4213271;DAOP 5;MA;GERBONG;13;DAOP;5;DAOP 5;DAOP 5;DEPO GERBONG MA
1175;GD4213272;DAOP 5;MA;GERBONG;13;DAOP;5;DAOP 5;DAOP 5;DEPO GERBONG MA
1176;GD4213277;DAOP 5;MA;GERBONG;13;DAOP;5;DAOP 5;DAOP 5;DEPO GERBONG MA
1177;GD4213278;DAOP 5;MA;GERBONG;13;DAOP;5;DAOP 5;DAOP 5;DEPO GERBONG MA
1178;GD4213279;DAOP 5;MA;GERBONG;13;DAOP;5;DAOP 5;DAOP 5;DEPO GERBONG MA
1179;GD421471;DAOP 1;JAKG;GERBONG;14;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
1180;GD421472;DAOP 1;JAKG;GERBONG;14;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
1181;GD421473;DAOP 1;JAKG;GERBONG;14;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
1182;GD421474;DAOP 1;JAKG;GERBONG;14;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
1183;GD421475;DAOP 1;JAKG;GERBONG;14;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
1184;GD421476;DAOP 1;JAKG;GERBONG;14;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
1185;GD421477;DAOP 1;JAKG;GERBONG;14;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
1186;GD421478;DAOP 1;JAKG;GERBONG;14;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
1187;GD421479;DAOP 1;JAKG;GERBONG;14;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
1188;GD421480;DAOP 1;JAKG;GERBONG;14;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
1189;GD4214141;DAOP 1;JAKG;GERBONG;14;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
1190;GD4214142;DAOP 1;JAKG;GERBONG;14;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
1191;GD4214143;DAOP 1;JAKG;GERBONG;14;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
1192;GD4214144;DAOP 1;JAKG;GERBONG;14;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
1193;GD4214145;DAOP 1;JAKG;GERBONG;14;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
1194;GD4214146;DAOP 1;JAKG;GERBONG;14;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
1195;GD4214147;DAOP 1;JAKG;GERBONG;14;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
1196;GD4214148;DAOP 1;JAKG;GERBONG;14;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
1197;GD4214149;DAOP 1;JAKG;GERBONG;14;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
1198;GD4214150;DAOP 1;JAKG;GERBONG;14;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
1199;GD4214151;DAOP 1;JAKG;GERBONG;14;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
1200;GD4214152;DAOP 1;JAKG;GERBONG;14;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
1201;GD4214153;DAOP 1;JAKG;GERBONG;14;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
1202;GD4214154;DAOP 1;JAKG;GERBONG;14;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
1203;GD4214155;DAOP 5;MA;GERBONG;14;DAOP;5;DAOP 5;DAOP 5;DEPO GERBONG MA
1204;GD4214156;DAOP 1;JAKG;GERBONG;14;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
1205;GD4214157;DAOP 5;MA;GERBONG;14;DAOP;5;DAOP 5;DAOP 5;DEPO GERBONG MA
1206;GD4214158;DAOP 1;JAKG;GERBONG;14;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
1207;GD4214159;DAOP 5;MA;GERBONG;14;DAOP;5;DAOP 5;DAOP 5;DEPO GERBONG MA
1208;GD4214160;DAOP 1;JAKG;GERBONG;14;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
1209;GD4214161;DAOP 1;JAKG;GERBONG;14;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
1210;GD4214162;DAOP 1;JAKG;GERBONG;14;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
1211;GD4214163;DAOP 1;JAKG;GERBONG;14;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
1212;GD4214164;DAOP 1;JAKG;GERBONG;14;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
1213;GD4214165;DAOP 1;JAKG;GERBONG;14;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
1214;GD4214166;DAOP 1;JAKG;GERBONG;14;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
1215;GD4214167;DAOP 1;JAKG;GERBONG;14;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
1216;GD4214168;DAOP 1;JAKG;GERBONG;14;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
1217;GD4214169;DAOP 1;JAKG;GERBONG;14;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
1218;GD4214170;DAOP 1;JAKG;GERBONG;14;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
1219;GD4214171;DAOP 1;JAKG;GERBONG;14;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
1220;GD4214172;DAOP 1;JAKG;GERBONG;14;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
1221;GD4214173;DAOP 1;JAKG;GERBONG;14;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
1222;GD4214174;DAOP 1;JAKG;GERBONG;14;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
1223;GD4214175;DAOP 1;JAKG;GERBONG;14;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
1224;GD4214176;DAOP 1;JAKG;GERBONG;14;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
1225;GD4214177;DAOP 1;JAKG;GERBONG;14;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
1226;GD4214178;DAOP 1;JAKG;GERBONG;14;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
1227;GD4214179;DAOP 1;JAKG;GERBONG;14;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
1228;GD4214180;DAOP 1;JAKG;GERBONG;14;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
1229;GD4214323;DAOP 1;JAKG;GERBONG;14;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
1230;GD4214324;DAOP 1;JAKG;GERBONG;14;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
1231;GD4214325;DAOP 1;JAKG;GERBONG;14;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
1232;GD4214326;DAOP 1;JAKG;GERBONG;14;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
1233;GD4214327;DAOP 1;JAKG;GERBONG;14;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
1234;GD4214329;DAOP 1;JAKG;GERBONG;14;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
1235;GD4214330;DAOP 1;JAKG;GERBONG;14;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
1236;GD4214331;DAOP 1;JAKG;GERBONG;14;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
1237;GD4214332;DAOP 1;JAKG;GERBONG;14;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
1238;GD4214333;DAOP 1;JAKG;GERBONG;14;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
1239;GD4214334;DAOP 1;JAKG;GERBONG;14;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
1240;GD4214335;DAOP 1;JAKG;GERBONG;14;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
1241;GD4214336;DAOP 1;JAKG;GERBONG;14;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
1242;GD4214337;DAOP 1;JAKG;GERBONG;14;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
1243;GD4214338;DAOP 1;JAKG;GERBONG;14;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
1244;GD4214339;DAOP 1;JAKG;GERBONG;14;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
1245;GD4214340;DAOP 1;JAKG;GERBONG;14;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
1246;GD4214341;DAOP 1;JAKG;GERBONG;14;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
1247;GD4214342;DAOP 1;JAKG;GERBONG;14;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
1248;GD4214343;DAOP 1;JAKG;GERBONG;14;DAOP;1;DAOP 1;DAOP 1;DEPO GERBONG JAKG
1249;GD4214344;DAOP 5;MA;GERBONG;14;DAOP;5;DAOP 5;DAOP 5;DEPO GERBONG MA
1250;GD4214345;DAOP 5;MA;GERBONG;14;DAOP;5;DAOP 5;DAOP 5;DEPO GERBONG MA
1251;GD4214346;DAOP 5;MA;GERBONG;14;DAOP;5;DAOP 5;DAOP 5;DEPO GERBONG MA
1252;GD4214347;DAOP 5;MA;GERBONG;14;DAOP;5;DAOP 5;DAOP 5;DEPO GERBONG MA
1253;GD4214348;DAOP 5;MA;GERBONG;14;DAOP;5;DAOP 5;DAOP 5;DEPO GERBONG MA
1254;GD4214349;DAOP 5;MA;GERBONG;14;DAOP;5;DAOP 5;DAOP 5;DEPO GERBONG MA
1255;GD4214350;DAOP 5;MA;GERBONG;14;DAOP;5;DAOP 5;DAOP 5;DEPO GERBONG MA
1256;GD4214351;DAOP 5;MA;GERBONG;14;DAOP;5;DAOP 5;DAOP 5;DEPO GERBONG MA
