;id;kode_sarana;kode_sarana_lama;id_kartu;id_jenis;id_sub_jenis;seri;tahun_dinas;id_daops;id_depo;status;negara_asal;tgl_uji_pertama;tgl_masa_uji;tgl_masa_perawatan;pabrikan;id_pemilik;created_at;last_update
152;16120;SR31501A;;0;9;22;0;2015;35;71;Aktiv;Indonesia;0000-00-00;0000-00-00;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
153;16121;SN00801A;;0;9;19;0;2008;30;71;Aktiv;Indonesia;0000-00-00;0000-00-00;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
154;16122;SN00802A;;0;9;19;0;2008;29;71;Aktiv;Indonesia;0000-00-00;0000-00-00;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
155;16123;SK21501;;0;9;41;0;2015;29;71;Aktiv;Indonesia;0000-00-00;0000-00-00;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
156;16124;SK21502;;0;9;41;0;2015;31;71;Aktiv;Indonesia;0000-00-00;0000-00-00;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
157;16125;SK21503;;0;9;41;0;2015;30;71;Aktiv;Indonesia;0000-00-00;0000-00-00;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
158;16126;SK21504;;0;9;41;0;2015;32;71;Aktiv;Indonesia;0000-00-00;0000-00-00;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
159;16127;SK21505;;0;9;41;0;2015;34;71;Aktiv;Indonesia;0000-00-00;0000-00-00;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
160;16412;SN01401;;0;9;19;0;2014;25;71;Aktiv;Indonesia;0000-00-00;2020-12-20;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
161;16812;K311101;;0;2;3;0;2011;25;71;Aktiv;INDONESIA;0000-00-00;0000-00-00;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
162;16813;K311102;;0;2;3;0;2011;25;71;Aktiv;INDONESIA;0000-00-00;0000-00-00;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
163;16814;K311103;;0;2;3;0;2011;25;71;Aktiv;INDONESIA;0000-00-00;0000-00-00;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
164;16815;K311104;;0;2;3;0;2011;25;71;Aktiv;INDONESIA;0000-00-00;0000-00-00;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
165;16816;K311105;;0;2;3;0;2011;25;71;Aktiv;INDONESIA;0000-00-00;0000-00-00;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
166;16817;K311106;;0;2;3;0;2011;25;71;Aktiv;INDONESIA;0000-00-00;0000-00-00;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
167;16818;K311107;;0;2;3;0;2011;25;71;Aktiv;INDONESIA;0000-00-00;0000-00-00;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
168;16819;K311108;;0;2;3;0;2011;25;71;Aktiv;INDONESIA;0000-00-00;0000-00-00;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
169;16820;K311109;;0;2;3;0;2011;25;71;Aktiv;INDONESIA;0000-00-00;2021-09-04;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
170;16821;K311110;;0;2;3;0;2011;25;71;Aktiv;INDONESIA;0000-00-00;2021-09-04;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
171;16822;K311111;;0;2;3;0;2011;25;71;Aktiv;INDONESIA;0000-00-00;2021-09-04;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
172;16823;K311112;;0;2;3;0;2011;25;71;Aktiv;INDONESIA;0000-00-00;2021-09-04;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
173;16824;K311113;;0;2;3;0;2011;25;71;Aktiv;INDONESIA;0000-00-00;0000-00-00;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
174;16825;K311114;;0;2;3;0;2011;25;71;Aktiv;INDONESIA;0000-00-00;0000-00-00;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
175;16826;K311115;;0;2;3;0;2011;25;71;Aktiv;INDONESIA;0000-00-00;0000-00-00;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
176;16827;K311116;;0;2;3;0;2011;25;71;Aktiv;INDONESIA;0000-00-00;0000-00-00;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
177;16828;K311117;;0;2;3;0;2011;25;71;Aktiv;INDONESIA;0000-00-00;0000-00-00;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
178;16829;K311118;;0;2;3;0;2011;25;71;Aktiv;INDONESIA;0000-00-00;0000-00-00;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
179;16830;K311119;;0;2;3;0;2011;25;71;Aktiv;INDONESIA;0000-00-00;0000-00-00;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
180;16831;K311120;;0;2;3;0;2011;25;71;Aktiv;INDONESIA;0000-00-00;0000-00-00;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
181;16832;K311121;;0;2;3;0;2011;25;71;Aktiv;INDONESIA;0000-00-00;0000-00-00;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
182;16833;K311122;;0;2;3;0;2011;25;71;Aktiv;INDONESIA;0000-00-00;0000-00-00;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
183;16834;K311123;;0;2;3;0;2011;25;71;Aktiv;INDONESIA;0000-00-00;0000-00-00;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
184;16835;K311124;;0;2;3;0;2011;25;71;Aktiv;INDONESIA;0000-00-00;0000-00-00;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
185;16836;K311125;;0;2;3;0;2011;25;71;Aktiv;INDONESIA;0000-00-00;0000-00-00;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
