"55","GT 50 00 10","GGW PULP 506015","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"56","GT 50 00 11","GGW PULP 506016","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"57","GT 50 00 12","GGW PULP 506017","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"58","GT 50 00 13","GGW PULP 506018","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"59","GT 50 00 14","GGW PULP 506019","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"60","GT 50 00 15","GGW PULP 506020","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"61","GT 50 00 16","GGW PULP 506021","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"62","GT 50 00 17","GGW PULP 506023","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"63","GT 50 00 18","GGW PULP 506026","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"64","GT 50 00 19","GGW PULP 506027","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"65","GT 50 00 20","GGW PULP 506028","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"66","GT 50 00 21","GGW PULP 506029","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"67","GT 50 00 22","GGW PULP 506030","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"68","GT 50 00 23","GGW PULP 506031","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"69","GT 50 00 24","GGW PULP 506032","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"70","GT 50 00 25","GGW PULP 506034","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"71","GT 50 00 26","GGW PULP 506035","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"72","GT 50 00 27","GGW PULP 506036","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"73","GT 50 00 28","GGW PULP 506037","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
