"30","KA.405/SK.291/DJKA/12/2012","2012-12-28","SK Dirjen tentang Penetapan Identitas ...","3","118",NULL,NULL,NULL
"31","KA.405/SK.292/DJKA/3/12","2012-12-28","SK Dirjen tentang Penetapan Identitas ...","2","3",NULL,NULL,NULL
"32","KA.405/SK.12/DJKA/1/2013","2013-01-22","SK Dirjen tentang Penetapan Identitas ...","2","58",NULL,NULL,NULL
"33","KA.405/SK.24/DJKA/2/2013","2013-02-11","SK Dirjen tentang Penetapan Identitas ...","3","60",NULL,NULL,NULL
"34","KA.405/SK.4/DJKA/1/2014","2014-01-17","SK Dirjen tentang Penetapan Identitas ...","2","144",NULL,NULL,NULL
"35","KA.405/SK.83/DJKA/3/2014","2014-03-10","SK Dirjen tentang Penetapan Identitas ...","1","3",NULL,NULL,NULL
"36","KA.405/SK.112/DJKA/3/2014","2014-03-18","SK Dirjen tentang Penetapan Identitas ...","4","16",NULL,NULL,NULL
"37","KA.405/SK.128/DJKA/4/2014","2014-04-07","SK Dirjen tentang Penetapan Identitas ...","3","20",NULL,NULL,NULL
"38","KA.405/SK.129/DJKA/4/2014","2014-04-07","SK Dirjen tentang Penetapan Identitas ...","3","20",NULL,NULL,NULL
"39","KA.405/SK.211/DJKA/7/14","2014-07-10","SK Dirjen tentang Penetapan Identitas ...","1","8",NULL,NULL,NULL
"40","KA.405/SK.214/DJKA/7/2014","2014-07-18","SK Dirjen tentang Penetapan Identitas ...","3","90",NULL,NULL,NULL
"41","KA.405/SK.220/DJKA/7/2014","2014-07-22","SK Dirjen tentang Penetapan Identitas ...","2","600",NULL,NULL,NULL
"42","KA.405/SK.252/DJKA/9/2014","2014-09-22","SK Dirjen tentang Penetapan Identitas ...","1","2",NULL,NULL,NULL
"43","KA.405/SK.69/DJKA/4/2014","2015-04-08","SK Dirjen tentang Penetapan Identitas ...","2","280",NULL,NULL,NULL
"44"," KA.405/SK.122/DJKA/7/2015","2015-07-01","SK Dirjen tentang Penetapan Identitas ...","1","10",NULL,NULL,NULL
"45","KA.405/SK.120/DJKA/7/2015","2015-07-01","SK Dirjen tentang Penetapan Identitas ...","1","1",NULL,NULL,NULL
"46","KA.405/SK.121/DJKA/7/2015","2015-07-01","SK Dirjen tentang Penetapan Identitas ...","3","40",NULL,NULL,NULL
"47","KA.405/SK.123/DJKA/7/2015","2015-07-01","SK Dirjen tentang Penetapan Identitas ...","2","5",NULL,NULL,NULL
"48","KA.405/SK.124/DJKA/7/2015","2015-07-01","SK Dirjen tentang Penetapan Identitas ...","3","32",NULL,NULL,NULL
"49","KA.405/SK.125/DJKA/7/2015","2015-07-01","SK Dirjen tentang Penetapan Identitas ...","3","32",NULL,NULL,NULL
"50","KA.405/SK.126/DJKA/7/2015","2015-07-01","SK Dirjen tentang Penetapan Identitas ...","3","80",NULL,NULL,NULL
"51","KA.405/SK.128/DJKA/7/2015","2015-07-01","SK Dirjen tentang Penetapan Identitas ...","2","2",NULL,NULL,NULL
"52","KA.405/A.145/DJKA/7/15","2015-07-13","SK Dirjen tentang Penetapan Identitas ...","2","59",NULL,NULL,NULL
"53","KA.405/SK.167/DJKA/8/15","2015-08-18","SK Dirjen tentang Penetapan Identitas ...","3","24",NULL,NULL,NULL
"54","KA.405/SK.169/DJKA/8/15","2015-08-18","SK Dirjen tentang Penetapan Identitas ...","2","3",NULL,NULL,NULL
"55","KA.405/SK.177/DJKA/9/2015","2015-09-04","SK Dirjen tentang Penetapan Identitas ...","3","30",NULL,NULL,NULL
