"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"08/04/2015","5.486,58","5.513,98","5.518,80","5.476,89","4,31B","-0,66%"
"07/04/2015","5.523,29","5.502,32","5.523,29","5.493,84","4,78B","0,79%"
"06/04/2015","5.480,03","5.467,70","5.489,60","5.465,61","3,62B","0,43%"
"02/04/2015","5.456,40","5.480,16","5.489,64","5.436,95","4,81B","-0,19%"
"01/04/2015","5.466,87","5.516,80","5.524,04","5.454,53","4,57B","-0,94%"
"31/03/2015","5.518,68","5.490,98","5.518,68","5.484,05","4,75B","1,47%"
"30/03/2015","5.438,66","5.415,28","5.459,75","5.411,97","4,69B","0,77%"
"27/03/2015","5.396,85","5.352,74","5.397,84","5.350,47","3,36B","0,52%"
"26/03/2015","5.368,80","5.381,02","5.413,29","5.368,67","4,82B","-0,68%"
"25/03/2015","5.405,49","5.437,74","5.440,45","5.396,41","5,17B","-0,77%"
"24/03/2015","5.447,65","5.440,59","5.457,95","5.434,46","4,00B","0,19%"
"23/03/2015","5.437,10","5.455,88","5.467,94","5.437,10","5,55B","-0,11%"
"20/03/2015","5.443,06","5.433,15","5.453,69","5.423,28","5,33B","-0,20%"
"19/03/2015","5.453,85","5.445,07","5.461,30","5.444,10","4,88B","0,75%"
"18/03/2015","5.413,15","5.425,81","5.435,04","5.412,96","4,30B","-0,48%"
"17/03/2015","5.439,15","5.452,83","5.464,02","5.431,80","5,06B","0,07%"
"16/03/2015","5.435,27","5.415,47","5.449,94","5.415,47","3,65B","0,16%"
"13/03/2015","5.426,47","5.457,94","5.462,59","5.420,80","4,23B","-0,25%"
"12/03/2015","5.439,83","5.418,19","5.449,60","5.417,60","4,52B","0,37%"
"11/03/2015","5.419,57","5.438,33","5.439,26","5.405,94","5,38B","-0,79%"
"10/03/2015","5.462,93","5.437,13","5.471,28","5.407,57","4,82B","0,34%"
"09/03/2015","5.444,63","5.483,86","5.485,00","5.424,95","4,20B","-1,27%"
"06/03/2015","5.514,79","5.467,15","5.514,79","5.460,89","4,38B","1,17%"
"05/03/2015","5.450,95","5.457,90","5.476,63","5.450,95","4,14B","0,05%"
"04/03/2015","5.448,06","5.477,82","5.484,86","5.435,44","3,97B","-0,49%"
"03/03/2015","5.474,62","5.479,62","5.499,77","5.472,57","4,32B","-0,06%"
"02/03/2015","5.477,83","5.452,83","5.477,83","5.451,57","4,28B","0,51%"
"27/02/2015","5.450,29","5.455,23","5.464,22","5.441,14","4,44B","-0,02%"
"26/02/2015","5.451,42","5.429,48","5.459,07","5.429,48","4,25B","0,12%"
"25/02/2015","5.445,11","5.426,23","5.448,69","5.425,90","4,95B","0,51%"
"24/02/2015","5.417,31","5.399,66","5.422,44","5.397,78","4,18B","0,26%"
"23/02/2015","5.403,28","5.409,94","5.418,59","5.387,38","3,95B","0,06%"
"20/02/2015","5.400,10","5.399,43","5.427,31","5.398,35","4,21B","0,18%"
"18/02/2015","5.390,45","5.372,75","5.415,38","5.372,75","5,17B","0,99%"
"17/02/2015","5.337,50","5.325,68","5.342,93","5.319,47","3,47B","0,23%"
"16/02/2015","5.325,49","5.377,97","5.384,02","5.320,40","3,53B","-0,91%"
"13/02/2015","5.374,16","5.363,98","5.380,84","5.352,95","3,68B","0,58%"
"12/02/2015","5.343,41","5.342,06","5.346,14","5.320,24","4,27B","0,13%"
"11/02/2015","5.336,52","5.336,66","5.345,08","5.327,89","4,70B","0,28%"
"10/02/2015","5.321,47","5.353,81","5.362,57","5.310,08","4,36B","-0,50%"
"09/02/2015","5.348,47","5.341,76","5.375,09","5.333,23","4,17B","0,11%"
"06/02/2015","5.342,52","5.297,35","5.342,52","5.296,60","4,73B","1,19%"
"05/02/2015","5.279,90","5.309,13","5.314,29","5.254,04","4,04B","-0,67%"
"04/02/2015","5.315,28","5.315,45","5.348,84","5.298,12","5,36B","0,45%"
"03/02/2015","5.291,72","5.287,62","5.310,11","5.282,06","4,53B","0,29%"
"02/02/2015","5.276,24","5.277,15","5.291,41","5.257,21","3,37B","-0,25%"
"30/01/2015","5.289,40","5.290,39","5.298,46","5.281,58","3,95B","0,51%"
"29/01/2015","5.262,72","5.263,53","5.266,99","5.253,45","3,94B","-0,12%"
"28/01/2015","5.268,85","5.272,22","5.279,91","5.263,55","4,52B","-0,16%"
"27/01/2015","5.277,15","5.254,46","5.277,15","5.243,75","4,03B","0,33%"
"26/01/2015","5.260,02","5.302,64","5.309,52","5.208,42","4,77B","-1,20%"
"23/01/2015","5.323,89","5.281,18","5.325,04","5.281,18","6,18B","1,35%"
"22/01/2015","5.253,18","5.215,64","5.267,57","5.215,03","6,03B","0,73%"
"21/01/2015","5.215,27","5.176,35","5.215,27","5.164,30","3,97B","0,95%"
"20/01/2015","5.166,09","5.154,37","5.166,09","5.121,81","4,72B","0,27%"
"19/01/2015","5.152,09","5.152,16","5.171,68","5.132,71","4,48B","0,07%"
"16/01/2015","5.148,38","5.182,01","5.204,49","5.148,38","4,62B","-0,78%"
"15/01/2015","5.188,71","5.180,43","5.193,95","5.168,01","5,42B","0,56%"
"14/01/2015","5.159,67","5.217,20","5.225,02","5.159,67","6,40B","-1,05%"
"13/01/2015","5.214,36","5.199,94","5.217,22","5.197,09","7,29B","0,51%"
"12/01/2015","5.187,93","5.202,75","5.220,25","5.183,21","4,77B","-0,55%"
"09/01/2015","5.216,66","5.226,89","5.240,24","5.212,28","7,39B","0,09%"
"08/01/2015","5.211,83","5.218,40","5.230,18","5.208,99","6,92B","0,09%"
"07/01/2015","5.207,12","5.175,55","5.207,38","5.174,80","7,21B","0,74%"
"06/01/2015","5.169,06","5.186,20","5.194,80","5.169,06","5,15B","-0,98%"
"05/01/2015","5.219,99","5.229,68","5.233,66","5.206,28","4,48B","-0,43%"
"02/01/2015","5.242,77","5.233,80","5.247,94","5.230,75","3,81B","0,30%"
