id;kode_sarana;kode_sarana_lama;id_kartu;jenis_sarana;sub_jenis_sarana;seri;tahun_dinas;id_daops;id_depo;status;negara_asal;tgl_uji_pertama;tgl_masa_uji;tgl_masa_perawatan;pabrikan;id_pemilik;created_at;last_update;expired_month;expired_year;status_masauji
15362;K301747;;;Kereta;8;0.0;2017;7;16;Aktiv;INDONESIA;0000-00-00;21/09/2020;0000-00-00;PT INKA;2;;;2020-09;2020;Expired
15359;K301744;;;Kereta;8;0.0;2017;7;16;Aktiv;INDONESIA;0000-00-00;21/09/2020;0000-00-00;PT INKA;2;;;2020-09;2020;Expired
15357;K301742;;;Kereta;8;0.0;2017;7;16;Aktiv;INDONESIA;0000-00-00;21/09/2020;0000-00-00;PT INKA;2;;;2020-09;2020;Expired
15353;K301738;;;Kereta;8;0.0;2017;7;16;Aktiv;INDONESIA;0000-00-00;21/09/2020;0000-00-00;PT INKA;2;;;2020-09;2020;Expired
15346;K301731;;;Kereta;8;0.0;2017;7;16;Aktiv;INDONESIA;0000-00-00;21/09/2020;0000-00-00;PT INKA;2;;;2020-09;2020;Expired
15343;K301728;;;Kereta;8;0.0;2017;7;16;Aktiv;INDONESIA;20/06/2017;21/09/2020;0000-00-00;PT INKA;2;;;2020-09;2020;Expired
15342;K301727;;;Kereta;8;0.0;2017;7;16;Aktiv;INDONESIA;20/06/2017;21/09/2020;0000-00-00;PT INKA;2;;;2020-09;2020;Expired
15339;K301724;;;Kereta;8;0.0;2017;7;16;Aktiv;INDONESIA;20/06/2017;21/09/2020;0000-00-00;PT INKA;2;;;2020-09;2020;Expired
15336;K301721;;;Kereta;8;0.0;2017;7;16;Aktiv;INDONESIA;20/06/2017;21/09/2020;0000-00-00;PT INKA;2;;;2020-09;2020;Expired
15723;P01812;;;Kereta;10;0.0;2018;7;16;Aktiv;INDONESIA;0000-00-00;24/10/2020;0000-00-00;PT INKA;2;;;2020-10;2020;Expired
15722;P01811;;;Kereta;10;0.0;2018;7;16;Aktiv;INDONESIA;0000-00-00;24/10/2020;0000-00-00;PT INKA;2;;;2020-10;2020;Expired
15721;M101812;;;Kereta;11;0.0;2018;7;16;Aktiv;INDONESIA;0000-00-00;24/10/2020;0000-00-00;PT INKA;2;;;2020-10;2020;Expired
15720;M101811;;;Kereta;11;0.0;2018;7;16;Aktiv;INDONESIA;0000-00-00;24/10/2020;0000-00-00;PT INKA;2;;;2020-10;2020;Expired
15716;K101879;;;Kereta;8;0.0;2018;7;16;Aktiv;INDONESIA;0000-00-00;24/10/2020;0000-00-00;PT INKA;2;;;2020-10;2020;Expired
15715;K101878;;;Kereta;8;0.0;2018;7;16;Aktiv;INDONESIA;0000-00-00;24/10/2020;0000-00-00;PT INKA;2;;;2020-10;2020;Expired
15714;K101877;;;Kereta;8;0.0;2018;7;16;Aktiv;INDONESIA;0000-00-00;24/10/2020;0000-00-00;PT INKA;2;;;2020-10;2020;Expired
15713;K101876;;;Kereta;8;0.0;2018;7;16;Aktiv;INDONESIA;0000-00-00;24/10/2020;0000-00-00;PT INKA;2;;;2020-10;2020;Expired
15712;K101875;;;Kereta;8;0.0;2018;7;16;Aktiv;INDONESIA;0000-00-00;24/10/2020;0000-00-00;PT INKA;2;;;2020-10;2020;Expired
15711;K101874;;;Kereta;8;0.0;2018;7;16;Aktiv;INDONESIA;0000-00-00;24/10/2020;0000-00-00;PT INKA;2;;;2020-10;2020;Expired
15710;K101873;;;Kereta;8;0.0;2018;7;16;Aktiv;INDONESIA;0000-00-00;24/10/2020;0000-00-00;PT INKA;2;;;2020-10;2020;Expired
15709;K101872;;;Kereta;8;0.0;2018;7;16;Aktiv;INDONESIA;0000-00-00;24/10/2020;0000-00-00;PT INKA;2;;;2020-10;2020;Expired
15708;K101871;;;Kereta;8;0.0;2018;7;16;Aktiv;INDONESIA;0000-00-00;24/10/2020;0000-00-00;PT INKA;2;;;2020-10;2020;Expired
15707;K101870;;;Kereta;8;0.0;2018;7;16;Aktiv;INDONESIA;0000-00-00;24/10/2020;0000-00-00;PT INKA;2;;;2020-10;2020;Expired
15706;K101869;;;Kereta;8;0.0;2018;7;16;Aktiv;INDONESIA;0000-00-00;24/10/2020;0000-00-00;PT INKA;2;;;2020-10;2020;Expired
15705;K101868;;;Kereta;8;0.0;2018;7;16;Aktiv;INDONESIA;0000-00-00;24/10/2020;0000-00-00;PT INKA;2;;;2020-10;2020;Expired
15704;K101867;;;Kereta;8;0.0;2018;7;16;Aktiv;INDONESIA;0000-00-00;24/10/2020;0000-00-00;PT INKA;2;;;2020-10;2020;Expired
15703;K101866;;;Kereta;8;0.0;2018;7;16;Aktiv;INDONESIA;0000-00-00;24/10/2020;0000-00-00;PT INKA;2;;;2020-10;2020;Expired
15702;K101865;;;Kereta;8;0.0;2018;7;16;Aktiv;INDONESIA;0000-00-00;24/10/2020;0000-00-00;PT INKA;2;;;2020-10;2020;Expired
15265;K101664;;;Kereta;8;0.0;2016;7;16;Aktiv;;0000-00-00;01/11/2020;0000-00-00;PT INKA;2;;;2020-11;2020;Expired
15263;K101662;;;Kereta;8;0.0;2016;7;16;Aktiv;;0000-00-00;01/11/2020;0000-00-00;PT INKA;2;;;2020-11;2020;Expired
15992;K301868;;;Kereta;8;0.0;2018;7;16;Aktiv;INDONESIA;0000-00-00;01/11/2020;0000-00-00;PT INKA;2;;;2020-11;2020;Expired
15991;K301867;;;Kereta;8;0.0;2018;7;16;Aktiv;INDONESIA;0000-00-00;01/11/2020;0000-00-00;PT INKA;2;;;2020-11;2020;Expired
15884;K301843;;;Kereta;8;0.0;2018;7;16;Aktiv;INDONESIA;0000-00-00;01/11/2020;0000-00-00;PT INKA;2;;;2020-11;2020;Expired
14582;K101626;;;Kereta;8;0.0;2016;7;16;Aktiv;;27/05/2016;27/11/2020;0000-00-00;PT INKA;2;;;2020-11;2020;Expired
14581;K101625;;;Kereta;8;0.0;2016;7;16;Aktiv;;27/05/2016;27/11/2020;0000-00-00;PT INKA;2;;;2020-11;2020;Expired
14580;K101624;;;Kereta;8;0.0;2016;7;16;Aktiv;;27/05/2016;27/11/2020;0000-00-00;PT INKA;2;;;2020-11;2020;Expired
14579;K101623;;;Kereta;8;0.0;2016;7;16;Aktiv;;27/05/2016;27/11/2020;0000-00-00;PT INKA;2;;;2020-11;2020;Expired
14578;K101622;;;Kereta;8;0.0;2016;7;16;Aktiv;;27/05/2016;27/11/2020;0000-00-00;PT INKA;2;;;2020-11;2020;Expired
